project_group,group_role,member_name,member_portfolio,decision_date,official_decision_url,last_verified
Affordable Housing,member,Roxana Mînzatu,"Social Rights and Skills, Quality Jobs and Preparedness",2025-01-07,https://commission.europa.eu/document/download/8d0173c6-8c41-4032-8eaf-8c73a57b11b1_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Affordable+Housing.pdf,2026-04-21
Affordable Housing,member,Raffaele Fitto,Cohesion and Reforms,2025-01-07,https://commission.europa.eu/document/download/8d0173c6-8c41-4032-8eaf-8c73a57b11b1_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Affordable+Housing.pdf,2026-04-21
Affordable Housing,member,Valdis Dombrovskis,Economy and Productivity; Implementation and Simplification,2025-01-07,https://commission.europa.eu/document/download/8d0173c6-8c41-4032-8eaf-8c73a57b11b1_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Affordable+Housing.pdf,2026-04-21
Affordable Housing,member,Wopke Hoekstra,"Climate, Net Zero and Clean Growth",2025-01-07,https://commission.europa.eu/document/download/8d0173c6-8c41-4032-8eaf-8c73a57b11b1_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Affordable+Housing.pdf,2026-04-21
Affordable Housing,chair,Dan Jørgensen,Energy and Housing,2025-01-07,https://commission.europa.eu/document/download/8d0173c6-8c41-4032-8eaf-8c73a57b11b1_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Affordable+Housing.pdf,2026-04-21
Affordable Housing,member,Maria Luís Albuquerque,Financial Services and the Savings and Investments Union,2025-01-07,https://commission.europa.eu/document/download/8d0173c6-8c41-4032-8eaf-8c73a57b11b1_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Affordable+Housing.pdf,2026-04-21
Clean Industrial Deal,chair,Teresa Ribera,"Clean, Just and Competitive Transition",2025-01-07,https://commission.europa.eu/document/download/b600cc41-3fce-4d6d-946d-1a11c93e50fa_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Clean+Industrial+Deal.pdf,2026-04-21
Clean Industrial Deal,chair,Stéphane Séjourné,Prosperity and Industrial Strategy,2025-01-07,https://commission.europa.eu/document/download/b600cc41-3fce-4d6d-946d-1a11c93e50fa_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Clean+Industrial+Deal.pdf,2026-04-21
Clean Industrial Deal,chair,Wopke Hoekstra,"Climate, Net Zero and Clean Growth",2025-01-07,https://commission.europa.eu/document/download/b600cc41-3fce-4d6d-946d-1a11c93e50fa_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Clean+Industrial+Deal.pdf,2026-04-21
Clean Industrial Deal,member,Roxana Mînzatu,"Social Rights and Skills, Quality Jobs and Preparedness",2025-01-07,https://commission.europa.eu/document/download/b600cc41-3fce-4d6d-946d-1a11c93e50fa_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Clean+Industrial+Deal.pdf,2026-04-21
Clean Industrial Deal,member,Maroš Šefčovič,Trade and Economic Security; Interinstitutional Relations and Transparency,2025-01-07,https://commission.europa.eu/document/download/b600cc41-3fce-4d6d-946d-1a11c93e50fa_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Clean+Industrial+Deal.pdf,2026-04-21
Clean Industrial Deal,member,Valdis Dombrovskis,Economy and Productivity; Implementation and Simplification,2025-01-07,https://commission.europa.eu/document/download/b600cc41-3fce-4d6d-946d-1a11c93e50fa_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Clean+Industrial+Deal.pdf,2026-04-21
Clean Industrial Deal,member,Jessika Roswall,"Environment, Water Resilience and a Competitive Circular Economy",2025-01-07,https://commission.europa.eu/document/download/b600cc41-3fce-4d6d-946d-1a11c93e50fa_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Clean+Industrial+Deal.pdf,2026-04-21
Clean Industrial Deal,member,Maria Luís Albuquerque,Financial Services and the Savings and Investments Union,2025-01-07,https://commission.europa.eu/document/download/b600cc41-3fce-4d6d-946d-1a11c93e50fa_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Clean+Industrial+Deal.pdf,2026-04-21
Clean Industrial Deal,member,Dan Jørgensen,Energy and Housing,2025-01-07,https://commission.europa.eu/document/download/b600cc41-3fce-4d6d-946d-1a11c93e50fa_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Clean+Industrial+Deal.pdf,2026-04-21
Clean Industrial Deal,member,Apostolos Tzitzikostas,Sustainable Transport and Tourism,2025-01-07,https://commission.europa.eu/document/download/b600cc41-3fce-4d6d-946d-1a11c93e50fa_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Clean+Industrial+Deal.pdf,2026-04-21
Defence Union,member,Kaja Kallas,Foreign Affairs and Security Policy,2025-01-07,https://commission.europa.eu/document/download/c766e0ef-91ca-46c3-b676-7782fa015f40_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Defence+Union.pdf,2026-04-21
Defence Union,member,Henna Virkkunen,"Tech Sovereignty, Security and Democracy",2025-01-07,https://commission.europa.eu/document/download/c766e0ef-91ca-46c3-b676-7782fa015f40_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Defence+Union.pdf,2026-04-21
Defence Union,member,Stéphane Séjourné,Prosperity and Industrial Strategy,2025-01-07,https://commission.europa.eu/document/download/c766e0ef-91ca-46c3-b676-7782fa015f40_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Defence+Union.pdf,2026-04-21
Defence Union,chair,Andrius Kubilius,Defence and Space,2025-01-07,https://commission.europa.eu/document/download/c766e0ef-91ca-46c3-b676-7782fa015f40_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Defence+Union.pdf,2026-04-21
Defence Union,member,Magnus Brunner,Internal Affairs and Migration,2025-01-07,https://commission.europa.eu/document/download/c766e0ef-91ca-46c3-b676-7782fa015f40_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Defence+Union.pdf,2026-04-21
Defence Union,member,Piotr Serafin,"Budget, Anti-Fraud and Public Administration",2025-01-07,https://commission.europa.eu/document/download/c766e0ef-91ca-46c3-b676-7782fa015f40_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Defence+Union.pdf,2026-04-21
Defence Union,member,Apostolos Tzitzikostas,Sustainable Transport and Tourism,2025-01-07,https://commission.europa.eu/document/download/c766e0ef-91ca-46c3-b676-7782fa015f40_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Defence+Union.pdf,2026-04-21
Democracy,member,Henna Virkkunen,"Tech Sovereignty, Security and Democracy",2025-01-07,https://commission.europa.eu/document/download/defd9b81-0d5a-44a7-9bd5-304daeb9ba5f_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Democracy.pdf,2026-04-21
Democracy,member,Kaja Kallas,Foreign Affairs and Security Policy,2025-01-07,https://commission.europa.eu/document/download/defd9b81-0d5a-44a7-9bd5-304daeb9ba5f_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Democracy.pdf,2026-04-21
Democracy,member,Roxana Mînzatu,"Social Rights and Skills, Quality Jobs and Preparedness",2025-01-07,https://commission.europa.eu/document/download/defd9b81-0d5a-44a7-9bd5-304daeb9ba5f_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Democracy.pdf,2026-04-21
Democracy,member,Hadja Lahbib,Equality; Preparedness and Crisis Management,2025-01-07,https://commission.europa.eu/document/download/defd9b81-0d5a-44a7-9bd5-304daeb9ba5f_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Democracy.pdf,2026-04-21
Democracy,member,Magnus Brunner,Internal Affairs and Migration,2025-01-07,https://commission.europa.eu/document/download/defd9b81-0d5a-44a7-9bd5-304daeb9ba5f_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Democracy.pdf,2026-04-21
Democracy,member,Ekaterina Zaharieva,"Startups, Research and Innovation",2025-01-07,https://commission.europa.eu/document/download/defd9b81-0d5a-44a7-9bd5-304daeb9ba5f_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Democracy.pdf,2026-04-21
Democracy,chair,Michael McGrath,"Democracy, Justice, the Rule of Law and Consumer Protection",2025-01-07,https://commission.europa.eu/document/download/defd9b81-0d5a-44a7-9bd5-304daeb9ba5f_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Democracy.pdf,2026-04-21
Skills,Jobs and Social Rights,member,"Teresa Ribera, Clean, Just and Competitive Transition",2025-01-07,https://commission.europa.eu/document/download/6d0af829-b5b6-4966-b543-69d95f836799_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Skils%2C+Jobs+and+Social+Rights.pdf,2026-04-21
Skills,Jobs and Social Rights,member,"Henna Virkkunen, Tech Sovereignty, Security and Democracy",2025-01-07,https://commission.europa.eu/document/download/6d0af829-b5b6-4966-b543-69d95f836799_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Skils%2C+Jobs+and+Social+Rights.pdf,2026-04-21
Skills,Jobs and Social Rights,member,"Stéphane Séjourné, Prosperity and Industrial Strategy",2025-01-07,https://commission.europa.eu/document/download/6d0af829-b5b6-4966-b543-69d95f836799_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Skils%2C+Jobs+and+Social+Rights.pdf,2026-04-21
Skills,Jobs and Social Rights,chair,"Roxana Mînzatu, Social Rights and Skills, Quality Jobs and Preparedness",2025-01-07,https://commission.europa.eu/document/download/6d0af829-b5b6-4966-b543-69d95f836799_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Skils%2C+Jobs+and+Social+Rights.pdf,2026-04-21
Skills,Jobs and Social Rights,member,"Raffaele Fitto, Cohesion and Reforms",2025-01-07,https://commission.europa.eu/document/download/6d0af829-b5b6-4966-b543-69d95f836799_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Skils%2C+Jobs+and+Social+Rights.pdf,2026-04-21
Skills,Jobs and Social Rights,member,"Valdis Dombrovskis, Economy and Productivity; Implementation and Simplification",2025-01-07,https://commission.europa.eu/document/download/6d0af829-b5b6-4966-b543-69d95f836799_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Skils%2C+Jobs+and+Social+Rights.pdf,2026-04-21
Skills,Jobs and Social Rights,member,"Hadja Lahbib, Equality; Preparedness and Crisis Management",2025-01-07,https://commission.europa.eu/document/download/6d0af829-b5b6-4966-b543-69d95f836799_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Skils%2C+Jobs+and+Social+Rights.pdf,2026-04-21
Skills,Jobs and Social Rights,member,"Magnus Brunner, Internal Affairs and Migration",2025-01-07,https://commission.europa.eu/document/download/6d0af829-b5b6-4966-b543-69d95f836799_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Skils%2C+Jobs+and+Social+Rights.pdf,2026-04-21
Skills,Jobs and Social Rights,member,"Glenn Micallef, Intergenerational Fairness, Youth, Culture and Sport",2025-01-07,https://commission.europa.eu/document/download/6d0af829-b5b6-4966-b543-69d95f836799_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Skils%2C+Jobs+and+Social+Rights.pdf,2026-04-21
Preparedness Union,member,Kaja Kallas,Foreign Affairs and Security Policy,2025-01-07,https://commission.europa.eu/document/download/df7c641d-73cf-4ec0-9769-728f9346aafb_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Preparedness+Union.pdf,2026-04-21
Preparedness Union,member,Roxana Mînzatu,"Social Rights and Skills, Quality Jobs and Preparedness",2025-01-07,https://commission.europa.eu/document/download/df7c641d-73cf-4ec0-9769-728f9346aafb_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Preparedness+Union.pdf,2026-04-21
Preparedness Union,member,Henna Virkkunen,"Tech Sovereignty, Security and Democracy",2025-01-07,https://commission.europa.eu/document/download/df7c641d-73cf-4ec0-9769-728f9346aafb_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Preparedness+Union.pdf,2026-04-21
Preparedness Union,member,Andrius Kubilius,Defence and Space,2025-01-07,https://commission.europa.eu/document/download/df7c641d-73cf-4ec0-9769-728f9346aafb_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Preparedness+Union.pdf,2026-04-21
Preparedness Union,member,Magnus Brunner,Internal Affairs and Migration,2025-01-07,https://commission.europa.eu/document/download/df7c641d-73cf-4ec0-9769-728f9346aafb_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Preparedness+Union.pdf,2026-04-21
Preparedness Union,member,Wopke Hoekstra,"Climate, Net Zero and Clean Growth",2025-01-07,https://commission.europa.eu/document/download/df7c641d-73cf-4ec0-9769-728f9346aafb_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Preparedness+Union.pdf,2026-04-21
Preparedness Union,member,Maroš Šefčovič,Trade and Economic Security; Interinstitutional Relations and Transparency,2025-01-07,https://commission.europa.eu/document/download/df7c641d-73cf-4ec0-9769-728f9346aafb_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Preparedness+Union.pdf,2026-04-21
Preparedness Union,member,Dan Jørgensen,Energy and Housing,2025-01-07,https://commission.europa.eu/document/download/df7c641d-73cf-4ec0-9769-728f9346aafb_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Preparedness+Union.pdf,2026-04-21
Preparedness Union,chair,Hadja Lahbib,Equality; Preparedness and Crisis Management,2025-01-07,https://commission.europa.eu/document/download/df7c641d-73cf-4ec0-9769-728f9346aafb_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Preparedness+Union.pdf,2026-04-21
External Action,chair,Kaja Kallas,Foreign Affairs and Security Policy,2024-12-10,https://commission.europa.eu/document/download/9dccf129-4153-4d44-86b0-ad50c9f5eea5_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+External+Action.pdf,2026-04-21
External Action,member,Dubravka Šuica,Mediterranean,2024-12-10,https://commission.europa.eu/document/download/9dccf129-4153-4d44-86b0-ad50c9f5eea5_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+External+Action.pdf,2026-04-21
External Action,member,Andrius Kubilius,Defence and Space,2024-12-10,https://commission.europa.eu/document/download/9dccf129-4153-4d44-86b0-ad50c9f5eea5_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+External+Action.pdf,2026-04-21
External Action,member,Marta Kos,Enlargement,2024-12-10,https://commission.europa.eu/document/download/9dccf129-4153-4d44-86b0-ad50c9f5eea5_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+External+Action.pdf,2026-04-21
External Action,member,Jozef Síkela,International Partnerships,2024-12-10,https://commission.europa.eu/document/download/9dccf129-4153-4d44-86b0-ad50c9f5eea5_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+External+Action.pdf,2026-04-21
External Action,member,Hadja Lahbib,Equality; Preparedness and Crisis Management,2024-12-10,https://commission.europa.eu/document/download/9dccf129-4153-4d44-86b0-ad50c9f5eea5_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+External+Action.pdf,2026-04-21
External Action,member,Magnus Brunner,Internal Affairs and Migration,2024-12-10,https://commission.europa.eu/document/download/9dccf129-4153-4d44-86b0-ad50c9f5eea5_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+External+Action.pdf,2026-04-21
European Internal Security,member,Henna Virkkunen,"Tech Sovereignty, Security and Democracy",2025-01-07,https://commission.europa.eu/document/download/114b99eb-1700-4668-9775-ad1301d5d870_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+European+Internal+Security.pdf,2026-04-21
European Internal Security,member,Kaja Kallas,Foreign Affairs and Security Policy,2025-01-07,https://commission.europa.eu/document/download/114b99eb-1700-4668-9775-ad1301d5d870_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+European+Internal+Security.pdf,2026-04-21
European Internal Security,member,Maroš Šefčovič,Trade and Economic Security; Interinstitutional Relations and Transparency,2025-01-07,https://commission.europa.eu/document/download/114b99eb-1700-4668-9775-ad1301d5d870_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+European+Internal+Security.pdf,2026-04-21
European Internal Security,member,Dubravka Šuica,Mediterranean,2025-01-07,https://commission.europa.eu/document/download/114b99eb-1700-4668-9775-ad1301d5d870_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+European+Internal+Security.pdf,2026-04-21
European Internal Security,member,Andrius Kubilius,Defence and Space,2025-01-07,https://commission.europa.eu/document/download/114b99eb-1700-4668-9775-ad1301d5d870_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+European+Internal+Security.pdf,2026-04-21
European Internal Security,member,Marta Kos,Enlargement,2025-01-07,https://commission.europa.eu/document/download/114b99eb-1700-4668-9775-ad1301d5d870_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+European+Internal+Security.pdf,2026-04-21
European Internal Security,member,Jozef Síkela,International Partnerships,2025-01-07,https://commission.europa.eu/document/download/114b99eb-1700-4668-9775-ad1301d5d870_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+European+Internal+Security.pdf,2026-04-21
European Internal Security,member,Hadja Lahbib,Equality; Preparedness and Crisis Management,2025-01-07,https://commission.europa.eu/document/download/114b99eb-1700-4668-9775-ad1301d5d870_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+European+Internal+Security.pdf,2026-04-21
European Internal Security,chair,Magnus Brunner,Internal Affairs and Migration,2025-01-07,https://commission.europa.eu/document/download/114b99eb-1700-4668-9775-ad1301d5d870_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+European+Internal+Security.pdf,2026-04-21
European Internal Security,member,Michael McGrath,"Democracy, Justice, the Rule of Law and Consumer Protection",2025-01-07,https://commission.europa.eu/document/download/114b99eb-1700-4668-9775-ad1301d5d870_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+European+Internal+Security.pdf,2026-04-21
Economic Security,member,Teresa Ribera,"Clean, Just and Competitive Transition",2025-01-07,https://commission.europa.eu/document/download/e3b92b79-fe14-4ad6-9def-daa8ce3af36c_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Economic+Security.pdf,2026-04-21
Economic Security,member,Henna Virkkunen,"Tech Sovereignty, Security and Democracy",2025-01-07,https://commission.europa.eu/document/download/e3b92b79-fe14-4ad6-9def-daa8ce3af36c_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Economic+Security.pdf,2026-04-21
Economic Security,member,Stéphane Séjourné,Prosperity and Industrial Strategy,2025-01-07,https://commission.europa.eu/document/download/e3b92b79-fe14-4ad6-9def-daa8ce3af36c_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Economic+Security.pdf,2026-04-21
Economic Security,member,Kaja Kallas,Foreign Affairs and Security Policy,2025-01-07,https://commission.europa.eu/document/download/e3b92b79-fe14-4ad6-9def-daa8ce3af36c_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Economic+Security.pdf,2026-04-21
Economic Security,member,Valdis Dombrovskis,Economy and Productivity; Implementation and Simplification,2025-01-07,https://commission.europa.eu/document/download/e3b92b79-fe14-4ad6-9def-daa8ce3af36c_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Economic+Security.pdf,2026-04-21
Economic Security,chair,Maroš Šefčovič,Trade and Economic Security; Interinstitutional Relations and Transparency,2025-01-07,https://commission.europa.eu/document/download/e3b92b79-fe14-4ad6-9def-daa8ce3af36c_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Economic+Security.pdf,2026-04-21
Economic Security,member,Andrius Kubilius,Defence and Space,2025-01-07,https://commission.europa.eu/document/download/e3b92b79-fe14-4ad6-9def-daa8ce3af36c_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Economic+Security.pdf,2026-04-21
Economic Security,member,Jozef Síkela,International Partnerships,2025-01-07,https://commission.europa.eu/document/download/e3b92b79-fe14-4ad6-9def-daa8ce3af36c_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Economic+Security.pdf,2026-04-21
Economic Security,member,Hadja Lahbib,Equality; Preparedness and Crisis Management,2025-01-07,https://commission.europa.eu/document/download/e3b92b79-fe14-4ad6-9def-daa8ce3af36c_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Economic+Security.pdf,2026-04-21
Economic Security,member,Magnus Brunner,Internal Affairs and Migration,2025-01-07,https://commission.europa.eu/document/download/e3b92b79-fe14-4ad6-9def-daa8ce3af36c_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Economic+Security.pdf,2026-04-21
Economic Security,member,Dan Jørgensen,Energy and Housing,2025-01-07,https://commission.europa.eu/document/download/e3b92b79-fe14-4ad6-9def-daa8ce3af36c_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Economic+Security.pdf,2026-04-21
Economic Security,member,Ekaterina Zaharieva,"Startups, Research and Innovation",2025-01-07,https://commission.europa.eu/document/download/e3b92b79-fe14-4ad6-9def-daa8ce3af36c_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Economic+Security.pdf,2026-04-21
Startups and Scaleups,member,Henna Virkkunen,"Tech Sovereignty, Security and Democracy",2025-01-07,https://commission.europa.eu/document/download/7f3e1d1e-e406-4e44-ad2f-ed559f3891a6_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Startups+and+Scaleups.pdf,2026-04-21
Startups and Scaleups,member,Stéphane Séjourné,Prosperity and Industrial Strategy,2025-01-07,https://commission.europa.eu/document/download/7f3e1d1e-e406-4e44-ad2f-ed559f3891a6_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Startups+and+Scaleups.pdf,2026-04-21
Startups and Scaleups,member,Valdis Dombrovskis,Economy and Productivity; Implementation and Simplification,2025-01-07,https://commission.europa.eu/document/download/7f3e1d1e-e406-4e44-ad2f-ed559f3891a6_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Startups+and+Scaleups.pdf,2026-04-21
Startups and Scaleups,member,Maria Luís Albuquerque,Financial Services and the Savings and Investments Union,2025-01-07,https://commission.europa.eu/document/download/7f3e1d1e-e406-4e44-ad2f-ed559f3891a6_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Startups+and+Scaleups.pdf,2026-04-21
Startups and Scaleups,member,Michael McGrath,"Democracy, Justice, the Rule of Law and Consumer Protection",2025-01-07,https://commission.europa.eu/document/download/7f3e1d1e-e406-4e44-ad2f-ed559f3891a6_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Startups+and+Scaleups.pdf,2026-04-21
Startups and Scaleups,chair,Ekaterina Zaharieva,"Startups, Research and Innovation",2025-01-07,https://commission.europa.eu/document/download/7f3e1d1e-e406-4e44-ad2f-ed559f3891a6_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Startups+and+Scaleups.pdf,2026-04-21
Water Resilience,member,Teresa Ribera,"Clean, Just and Competitive Transition",2025-01-07,https://commission.europa.eu/document/download/281adfa6-0d4f-4cd4-bfb7-b254c26eaa50_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Water+Resilience.pdf,2026-04-21
Water Resilience,member,Stéphane Séjourné,Prosperity and Industrial Strategy,2025-01-07,https://commission.europa.eu/document/download/281adfa6-0d4f-4cd4-bfb7-b254c26eaa50_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Water+Resilience.pdf,2026-04-21
Water Resilience,member,Raffaele Fitto,Cohesion and Reforms,2025-01-07,https://commission.europa.eu/document/download/281adfa6-0d4f-4cd4-bfb7-b254c26eaa50_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Water+Resilience.pdf,2026-04-21
