unit_code,unit_name,unit_type,department_page_url,public_surface_type,press_contacts_url,public_question_url,public_email,public_phone,last_verified,notes
EMPL,"Employment, Social Affairs and Inclusion",Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/employment-social-affairs-and-inclusion_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://europa.eu/european-union/contact_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
ENER,Energy,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/energy_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://europa.eu/european-union/contact_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
ENEST,Enlargement and Eastern Neighbourhood,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/enlargement-and-eastern-neighbourhood_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://enlargement.ec.europa.eu/your-opinion_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
ENV,Environment,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/environment_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://europa.eu/european-union/contact_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
OLAF,European Anti-Fraud Office,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/european-anti-fraud-office_en,dg_press_contacts_link,https://anti-fraud.ec.europa.eu/contacts/media-enquiries_en,https://anti-fraud.ec.europa.eu/contacts/general-information-request_en,olaf-media@ec.europa.eu,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
ECHO,European Civil Protection and Humanitarian Aid Operations,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/european-civil-protection-and-humanitarian-aid-operations_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://civil-protection-humanitarian-aid.ec.europa.eu/who/contact_en,hrncirova@ec.europa.eu; cortes@ec.europa.eu; echo-reportmisconduct@ec.europa.eu,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
CINEA,"European Climate, Infrastructure and Environment Executive Agency",Executive agency,https://commission.europa.eu/about/departments-and-executive-agencies/european-climate-infrastructure-and-environment-executive-agency_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Executive agency rather than DG. Press contacts link is public but not visibly filtered on-page.
,European Commission (EC) Library,Service,https://commission.europa.eu/about/departments-and-executive-agencies/european-commission-ec-library_en,dg_press_contacts_link,https://commission.europa.eu/about/contact/press-services/press-contacts/commissions-spokespersons-service_en,,,,2026-04-21,Service rather than DG. Press contacts link is public but not visibly filtered on-page.
EACEA,European Education and Culture Executive Agency,Executive agency,https://commission.europa.eu/about/departments-and-executive-agencies/european-education-and-culture-executive-agency_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commissions-spokespersons-service_en,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Executive agency rather than DG. Press contacts link is public but not visibly filtered on-page.
HADEA,European Health and Digital Executive Agency,Executive agency,https://commission.europa.eu/about/departments-and-executive-agencies/european-health-and-digital-executive-agency_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Executive agency rather than DG. Press contacts link is public but not visibly filtered on-page.
EISMEA,European Innovation Council and Small and Medium-sized Enterprises Executive Agency,Executive agency,https://commission.europa.eu/about/departments-and-executive-agencies/european-innovation-council-and-small-and-medium-sized-enterprises-executive-agency_en,dg_press_contacts_link,https://commission.europa.eu/about/contact/press-services/press-contacts/commissions-spokespersons-service_en,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Executive agency rather than DG. Press contacts link is public but not visibly filtered on-page.
EPSO,European Personnel Selection Office,EU interinstitutional service,https://eu-careers.europa.eu/en/about-epso,external_directory_entry,,,,,2026-04-21,"EU interinstitutional service entry in the official directory, but it points to an external site so no department-page press parsing was attempted."
ERCEA,European Research Council Executive Agency,Executive agency,https://commission.europa.eu/about/departments-and-executive-agencies/european-research-council-executive-agency_en,no_public_press_surface_found,,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Executive agency rather than DG. No public press-contacts link found on the department page.
REA,European Research Executive Agency,Executive agency,https://commission.europa.eu/about/departments-and-executive-agencies/european-research-executive-agency_en,dg_press_contacts_link,https://commission.europa.eu/about/contact/press-services/press-contacts/commissions-spokespersons-service_en,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Executive agency rather than DG. Press contacts link is public but not visibly filtered on-page.
EUSA,European School of Administration,EU interinstitutional service,https://commission.europa.eu/about/departments-and-executive-agencies/european-school-administration_en,no_public_press_surface_found,,,,,2026-04-21,EU interinstitutional service rather than DG. No public press-contacts link found on the department page.
EUROSTAT,Eurostat - European statistics,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/eurostat-european-statistics_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts_en,,,+352 4301 1 (Eurostat switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page.
FISMA,"Financial Stability, Financial Services and Capital Markets Union",Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/financial-stability-financial-services-and-capital-markets-union_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://europa.eu/european-union/contact_en,,+32 2 299 11 11 (Commission Switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
FPI,Foreign Policy Instruments,Service,https://commission.europa.eu/about/departments-and-executive-agencies/foreign-policy-instruments_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://ec.europa.eu/fpi/contact-us-0_en,fpi-info@ec.europa.eu,+32 2 299 11 11 (Commission switchboard),2026-04-21,Service rather than DG. Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
SANTE,Health and Food Safety,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/health-and-food-safety_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://european-union.europa.eu/contact-eu_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
HERA,Health Emergency Preparedness and Response Authority,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/health-emergency-preparedness-and-response-authority_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://european-union.europa.eu/contact-eu_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
,Historical Archives Service,Service,https://commission.europa.eu/about/departments-and-executive-agencies/historical-archives-service_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Service rather than DG. Press contacts link is public but not visibly filtered on-page.
HR,Human Resources and Security,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/human-resources-and-security_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://european-union.europa.eu/contact-eu_en,ec-security@ec.europa.eu,+32 2 299 1111 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
OIB,Infrastructure and Logistics in Brussels,Service,https://commission.europa.eu/about/departments-and-executive-agencies/infrastructure-and-logistics-brussels_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://europa.eu/european-union/contact_en,,+32 2 299 11 11 (Commission Switchboard),2026-04-21,Service rather than DG. Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
OIL,Infrastructure and Logistics in Luxembourg,Service,https://commission.europa.eu/about/departments-and-executive-agencies/infrastructure-and-logistics-luxembourg_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,,,+352 4 301 1 (Commission switchboard),2026-04-21,Service rather than DG. Press contacts link is public but not visibly filtered on-page.
IDEA,"Inspire, Debate, Engage and Accelerate Action",Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/inspire-debate-engage-and-accelerate-action_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page.
IAS,Internal Audit Service,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/internal-audit-service_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://europa.eu/european-union/contact_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
GROW,"Internal Market, Industry, Entrepreneurship and SMEs",Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/internal-market-industry-entrepreneurship-and-smes_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://single-market-economy.ec.europa.eu/contact-us_en,grow-webmaster@ec.europa.eu,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
INTPA,International Partnerships,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/international-partnerships_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://european-union.europa.eu/contact-eu_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
SCIC,Interpretation,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/interpretation_en,no_public_press_surface_found,,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,No public press-contacts link found on the department page.
JRC,Joint Research Centre,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/joint-research-centre_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page.
JUST,Justice and Consumers,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/justice-and-consumers_en,dg_press_contacts_link,https://ec.europa.eu/info/contact/press-services/press-contacts/press-contacts-spokespersons-service_en?field_job_tags_tid=22723&field_job_team_group_tax_tid=All,https://europa.eu/european-union/contact_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link appears to target a filtered Brussels press-contacts listing. Public question or write-to-us route also published.
SJ,Legal Service,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/legal-service_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://european-union.europa.eu/contact-eu_en,,,2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
MARE,Maritime Affairs and Fisheries,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/maritime-affairs-and-fisheries_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://oceans-and-fisheries.ec.europa.eu/contact-form_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
MENA,"Middle East, North Africa and the Gulf",Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/middle-east-north-africa-and-gulf_en,no_public_press_surface_found,,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,No public press-contacts link found on the department page.
HOME,Migration and Home Affairs,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/migration-and-home-affairs_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://european-union.europa.eu/contact-eu_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
MOVE,Mobility and Transport,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/mobility-and-transport_en,dg_press_contacts_link,https://commission.europa.eu/about/contact/press-services/press-contacts/commissions-spokespersons-service_en,https://european-union.europa.eu/contact-eu/call-us_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
PMO,Office for the Administration and Payment of Individual Entitlements,Service,https://commission.europa.eu/about/departments-and-executive-agencies/office-administration-and-payment-individual-entitlements_en,public_question_route_only,,https://europa.eu/european-union/contact_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Service rather than DG. No public press-contacts link found on the department page. Public question or write-to-us route also published.
OP,Publications Office,EU interinstitutional service,https://op.europa.eu/en/home,external_directory_entry,,,,,2026-04-21,"EU interinstitutional service entry in the official directory, but it points to an external site so no department-page press parsing was attempted."
SG REFORM,Reform and Investment Task Force,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/reform-and-investment-task-force_en,no_public_press_surface_found,,,,,2026-04-21,No public press-contacts link found on the department page.
REGIO,Regional and Urban Policy,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/regional-and-urban-policy_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://ec.europa.eu/regional_policy/information-sources/info-centre_en,regio-publication@ec.europa.eu; regio-webmaster@ec.europa.eu,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
RTD,Research and Innovation,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/research-and-innovation_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page.
SG,Secretariat-General,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/secretariat-general_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://europa.eu/european-union/contact_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
TAXUD,Taxation and Customs Union,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/taxation-and-customs-union_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page.
TRADE,Trade and Economic Security,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/trade-and-economic-security_en,no_public_press_surface_found,,,,+32 2 299 11 11,2026-04-21,No public press-contacts link found on the department page.
DGT,Translation,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/translation_en,dg_press_contacts_link,https://commission.europa.eu/about/contact/press-services/press-contacts/commissions-spokespersons-service_en,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page.
