member_name,member_role,portfolio,lead_supporting_services,official_college_url,official_responsibilities_url,last_verified
Olivér Várhelyi,Commissioner,Health and Animal Welfare,DG SANTE,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Wopke Hoekstra,Commissioner,"Climate, Net Zero and Clean Growth",DG CLIMA; DG TAXUD,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Andrius Kubilius,Commissioner,Defence and Space,DG DEFIS,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Marta Kos,Commissioner,Enlargement,DG NEAR,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Jozef Síkela,Commissioner,International Partnerships,DG INTPA,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Costas Kadis,Commissioner,Fisheries and Oceans,DG MARE,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Maria Luís Albuquerque,Commissioner,Financial Services and the Savings and Investments Union,DG FISMA,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Hadja Lahbib,Commissioner,Equality; Preparedness and Crisis Management,DG ECHO; HERA; DG JUST equality services,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Magnus Brunner,Commissioner,Internal Affairs and Migration,DG HOME,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Jessika Roswall,Commissioner,"Environment, Water Resilience and a Competitive Circular Economy",DG ENV,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Piotr Serafin,Commissioner,"Budget, Anti-Fraud and Public Administration",DG BUDG; DG HR; DGT; SCIC; OLAF; IAS; PMO; OIB; OIL; EPSO; EUSA,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Dan Jørgensen,Commissioner,Energy and Housing,DG ENER,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Ekaterina Zaharieva,Commissioner,"Startups, Research and Innovation",DG RTD; JRC,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Michael McGrath,Commissioner,"Democracy, Justice, the Rule of Law and Consumer Protection",DG JUST,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Apostolos Tzitzikostas,Commissioner,Sustainable Transport and Tourism,DG MOVE,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Christophe Hansen,Commissioner,Agriculture and Food,DG AGRI,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Glenn Micallef,Commissioner,"Intergenerational Fairness, Youth, Culture and Sport",DG EAC,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
