member_name,country_or_label,listed_website,source_url,last_verified
Coordination of Greek Women’s NGOs for the EWL,Greece,http://coordinationofgreekeomensngos.webnode.gr/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Hungarian Women’s Lobby,Hungary,http://www.noierdek.hu,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Icelandic Women’s Rights Association,Iceland,http://www.kvenrettindafelag.is/en,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
National Women’s Council of Ireland,Ireland,http://www.nwci.ie,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Italian Coordination for the EWL,Italy,http://coordinamentoitalianolobbyeudonne.blogspot.be/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Kosovo Women’s Network,Kosovo,http://www.womensnetwork.org,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Women’s NGOs Cooperation Network of Latvia,Latvia,http://www.sadarbibastikls.lv/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Lithuanian Women’s Lobby,Lithuania,http://lmlo.lt,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
National Council of Women of Luxembourg,Luxembourg,http://www.cnfl.lu/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Malta Women’s Lobby,Malta,http://www.maltawomenslobby.org,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
National Council of Women of Malta,Malta,http://www.ncwmalta.com,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
National Coordination of EWL for Moldova,Moldova,http://www.frauenrat.de/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Dutch Council of Women,Netherlands,http://www.nederlandsevrouwenraad.nl/html/index.php,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
NEWW-Polska,Poland,http://www.neww.org.pl/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Portuguese Platform for Women’s Rights,Portugal,http://plataformamulheres.org.pt/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Macedonian Women’s Lobby,Republic of North Macedonia,http://mzl.org.mk/en/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Romanian Women’s Lobby,Romania,http://romanianwomenslobby.com,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Serbian Network for the European Women’s Lobby,Serbia,http://mrezaewl.org/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Women’s Lobby of Slovenia,Slovenia,http://www.zenskilobi.si,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Lobby Europeo de Mujeres en España,Spain,http://www.lobbyeuropeoespana.com,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
European YWCA,Sweden,http://europeanywca.org/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Swedish Women’s Lobby,Sweden,http://www.sverigeskvinnolobby.se,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
International Alliance of Women,Switzerland,http://womenalliance.org/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Medical Women’s International Association,Switzerland,http://mwia.net/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Soroptimist International of Europe,Switzerland,http://www.soroptimisteurope.org/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Women’s International League for Peace and Freedom,Switzerland,http://www.wilpf.org,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
EWL Coordination for Turkey,Turkey,http://www.ewlturkey.org/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
World Association of Girl Guides and Girl Scouts,United Kingdom,http://www.wagggs.org/fr/our-world/europe-region/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Association of Businesswomen and Managers – Slovakia,,http://www.uspesnezeny.sk,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Association suisse pour le droit des femmes,,http://www.feminism.ch/english,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Democracy Development Center / Розвиток демократії,,http://www.ddc.org.ua,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Nederlandse Vrouwenraad,,https://vrouwenraad.be/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Norwegian Women's Lobby,,http://kvinnelobby.no/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
