country_code,country_name,dpa_name,dpa_homepage_url,complaint_entry_url,secondary_source_url,submission_channels,pre_complaint_expectation,evidence_or_form_notes,follow_up_notes,scope_notes,last_verified
SE,Sweden,Integritetsskyddsmyndigheten (IMY),https://www.imy.se/,https://www.imy.se/en/individuals/forms-and-e-services/file-a-gdpr-complaint/,https://www.imy.se/en/about-us/contact-us/,"IMY e-service, with email or letter fallback in some cases","IMY recommends contacting the organisation first, especially for rights complaints such as access, erasure, or rectification.","To count as a complaint, the filing must identify the controller and provide contact details; anonymous filings or complaints about someone else's data are treated as tips instead.","IMY says it will always reply if the complaint meets the formal requirements and will send a copy of the inspection decision if an inspection is opened.","Strong route for Sweden-based complaints; the page also notes that the complainant may choose another EEA authority for cross-border cases.",2026-04-24
FI,Finland,Office of the Data Protection Ombudsman,https://tietosuoja.fi/en/home,https://tietosuoja.fi/en/processing-of-matters-within-our-competence,https://tietosuoja.fi/en/your-data-protection-rights-and-legal-protection,"Email or post to the Office of the Data Protection Ombudsman; verify current contact path before filing","No direct complaint-form page was located in this pass; this route is based on the authority's official legal-protection and case-processing pages.","The authority says instituted cases receive a record number, may be anonymous, and may involve cooperation with other EU or EEA supervisory authorities.","The authority states that decisions of the Office can be appealed to the competent Administrative Court.","Useful official legal-protection route for Finland, but the practical complaint-entry path should be checked again in a later pass for a more direct filing page.",2026-04-24
LU,Luxembourg,National Commission for Data Protection (CNPD),https://cnpd.public.lu/en.html,https://cnpd.public.lu/en/particuliers/faire-valoir/formulaire-plainte.html,https://cnpd.public.lu/en/particuliers/faire-valoir.html,"Official complaint form","The CNPD asks data subjects to contact the data controller first to assert their rights before filing a complaint, unless that proves difficult or impossible.","The rights page says the CNPD first checks whether the complaint is justified and whether the alleged facts are likely to constitute an infringement.","No short timing statement was captured in this pass.","Strong route for Luxembourg-based complaints; good fit where rights requests have already failed or proved impracticable.",2026-04-24
PT,Portugal,Comissao Nacional de Protecao de Dados (CNPD),https://www.cnpd.pt/,https://www.cnpd.pt/cidadaos/participacoes/,https://www.cnpd.pt/cnpd/atendimento-ao-publico/,"Written online complaint forms by issue type","CNPD distinguishes complaint forms by subject matter and expects the complainant to choose the form that matches the issue.","The authority says the forms are designed to collect the minimum information needed for a preliminary analysis and faster routing; if the issue is really an information request, a different form should be used.","No short timing statement was captured in this pass.","Useful Portugal route because the CNPD now exposes a citizen-facing complaints section with a general form and topic-specific paths.",2026-04-24
CZ,Czechia,Office for Personal Data Protection (UOOU),https://uoou.gov.cz/,https://uoou.gov.cz/verejnost/stiznost-na-spravce-nebo-zpracovatele,https://uoou.gov.cz/aktualni-stav-stiznosti/ds-1509/p1%3D1509,"Complaint page and issue-specific status tool","Use the official complaint page to check that the issue is within UOOU competence; the page explicitly excludes several matters that are not really data-protection supervision cases.","The authority page explains that some problems belong with labour inspection, police, media operators, or courts rather than the data protection authority.","For at least some complaint types the authority offers a status-check tool tied to the submitted complaint.","Useful route for Czechia-based complaints, especially once the issue is confirmed to be a true personal-data processing matter.",2026-04-24
SK,Slovakia,Office for Personal Data Protection of the Slovak Republic,https://www.dataprotection.gov.sk/en/,https://www.dataprotection.gov.sk/en/rights-data-subjects/proceedings-on-protection-personal-data/,https://www.dataprotection.gov.sk/en/rights-data-subjects/rights-data-subjects/,"Written filing, authorised electronic filing, or personal oral submission into minutes","The complaint must be submitted in Slovak; the official English page says an official translation is not required.","The authority's proceedings page explains that an ordinary unauthorised email must be completed within three working days in writing, with authorised electronic filing, or personally into minutes.","No short timing statement was captured in this pass.","Strong route for Slovakia-based complaints; the channel rules matter because ordinary email alone is not enough.",2026-04-24
HR,Croatia,Croatian Personal Data Protection Agency (AZOP),https://azop.hr/,https://azop.hr/data-subject-rights/,https://azop.hr/contact/,"Personal filing, post, fax, or email to azop@azop.hr","Anyone who believes a GDPR right or a right under the Croatian implementation act has been violated may submit a request for determination of a rights violation.","The authority page says the request must be understandable and complete and lists the main personal data and facts that need to be included.","No short timing statement was captured in this pass.","Useful Croatia route for rights-based complaints and straightforward supervisory requests.",2026-04-24
EE,Estonia,Andmekaitse Inspektsioon (Data Protection Inspectorate),https://www.aki.ee/en,https://www.aki.ee/meist/vota-uhendust/kaebus-isikuandmete-kaitse-asjas,https://www.aki.ee/meist/vota-uhendust/saada-kiri,"Complaint link on the inspectorate site, with digitally signed electronic submissions or post","The inspectorate routes the data-protection complaint according to its legal nature, so the same filing may be treated as a complaint, challenge, or memorandum depending on content.","The site says electronic submissions should be digitally signed and sent to info@aki.ee; paper submissions may be posted to Tatari 39, 10134 Tallinn.","No short timing statement was captured in this pass.","Useful official route for Estonia, though the live complaint page itself is currently exposed through the Estonian-language contact path.",2026-04-24
LV,Latvia,Data State Inspectorate,https://www.dvi.gov.lv/en,https://www.dvi.gov.lv/en/services/complaint-concerning-processing-personal-data,https://www.dvi.gov.lv/en/rights-data-subject,"Complaint service page with official complaint sample","The complaint should identify the allegedly unlawful processor, the relationship to that processor, the nature of the processing, and whether the complainant has already contacted the processor.","The service page says supporting documents should be attached and links to the official complaint sample.","The service page says the Inspectorate shall provide a response no later than three months under GDPR Article 78(2).","Strong route for Latvia-based complaints with a clear official service page and timing signal.",2026-04-24
LT,Lithuania,State Data Protection Inspectorate,https://vdai.lrv.lt/en/,https://vdai.lrv.lt/uploads/vdai/documents/files/Recommended%20form%20of%20the%20complaint%20%202018%20EN.pdf,https://vdai.lrv.lt/en/data-protection-policy/,"Recommended complaint form plus written submission rules","The complaint form expects identification of the respondent, the relationship to that respondent, subject matter, whether the controller was contacted first, and attached evidence.","The official English materials say the authority must be addressed in Lithuanian and that non-signed email submissions do not satisfy the normal request rules.","No short timing statement was captured in this pass.","Useful Lithuania route because the official site exposes the complaint form and evidentiary structure clearly, even though the practical filing route is more formal than some peers.",2026-04-24
RO,Romania,ANSPDCP,https://www.dataprotection.ro/,https://www.dataprotection.ro/?page=Plangeri_pagina_principala,https://www.dataprotection.ro/?page=procedura_plangerilor,"Registry, post, email, or electronic form","Romania expects the complainant first to address the controller for GDPR rights and then complain with evidence if no answer arrives within one month or the answer is unsatisfactory.","The procedure page says complaints may be filed in Romanian or English, in writing, by post, email, at the registry, or by using the authority's electronic form.","No short timing statement was captured in this pass, but the page stresses admissibility requirements and the need for evidence and controller identification.","Strong route for Romania-based complaints once the rights-request stage and evidentiary threshold are met.",2026-04-24
BG,Bulgaria,Commission for Personal Data Protection (CPDP),https://cpdp.bg/en/,https://cpdp.bg/en/lodging-complaints-and-alerts/,https://cpdp.bg/en/protection-of-the-rights-of-individuals/,"In person, by post, fax, email with qualified electronic signature, or via the secure electronic service system","Complaints and alerts must be translated into Bulgarian.","The CPDP page sets out the minimum required contents and says email complaints must be electronic documents signed with a qualified electronic signature; scanned unsigned complaints sent by email are not acted on.","No short timing statement was captured in this pass.","Strong route for Bulgaria-based complaints because the official page is explicit about channels and formal requirements.",2026-04-24
CY,Cyprus,Cypriot Data Protection Authority,https://www.dataprotection.gov.cy/,https://www.dataprotection.gov.cy/dataprotection/dataprotection.nsf/59EA353334A12A41C225826000291BFC/$file/Investigation%20procedure.pdf,https://www.dataprotection.gov.cy/dataprotection/dataprotection.nsf/index_en/index_en?OpenDocument,"Form B complaint route and investigation procedure guidance","The authority uses a specific complaint form for breaches of the legislation for the processing of personal data.","The investigation procedure document identifies Form B as the complaint route for personal-data processing breaches and lists the Commissioner's office as the filing authority.","No short timing statement was captured in this pass.","Useful Cyprus route, but this row should be refined later with a cleaner web page if one becomes available.",2026-04-24
GR,Hellenic Republic,Hellenic Data Protection Authority,https://www.dpa.gr/en,https://www.dpa.gr/en/individuals/complaint-to-the-hellenic-dpa,https://www.dpa.gr/en/personal_data,"Online portal with taxisnet credentials, or English-by-email fallback in some cross-border cases","For rights complaints under GDPR Articles 15 to 22, the complainant must normally have exercised rights with the controller first and either received no answer within one month or received an unsatisfactory answer.","The page says complaints should be filed in the appropriate form with directly linked supporting documents and notes an English-by-email fallback when the complainant cannot use the Greek login route and Greece is the place of the alleged infringement.","No short timing statement was captured in this pass.","Strong route for Greece-based complaints and cross-border cases where Greece is the place of the alleged infringement.",2026-04-24
HU,Hungary,Hungarian National Authority for Data Protection and Freedom of Information (NAIH),https://www.naih.hu/,https://www.naih.hu/data-protection/investigation-by-the-authority,https://www.naih.hu/about-the-authority,"Authority inquiry or administrative procedure for data protection","The NAIH distinguishes between inquiries and administrative procedures for data protection; the complainant route depends on whether the data subject seeks a formal procedure or a lower-formality inquiry.","The authority's English material says anonymous notifications may ground an inquiry, while a data subject whose data rights are infringed can submit an application to commence an administrative procedure for data protection.","No short timing statement was captured in this pass.","Useful Hungary route, though it still needs a later pass to locate the clearest citizen-facing filing instructions or forms.",2026-04-24
MT,Malta,Information and Data Protection Commissioner (IDPC),https://idpc.org.mt/,https://idpc.org.mt/contact/,https://idpc.org.mt/for-individuals/your-rights/,"Dedicated online complaint form; electronic complaints should use the online form","Malta expects the data subject to engage the controller first in rights-based cases and then complain if there is no response within one month or the reply is unsatisfactory.","The IDPC contact page says data protection complaints filed electronically shall only be lodged using its dedicated online form.","No short timing statement was captured in this pass.","Strong Malta route because the authority clearly separates the complaint form from general contact and ties it to the data subject rights section.",2026-04-24
SI,Slovenia,Information Commissioner of the Republic of Slovenia,https://www.ip-rs.si/en/,https://www.ip-rs.si/en/data-protection/how-to-file-an-application,https://www.ip-rs.si/en/about/public-information/about-the-site,"Online form, email to gp.ip-rs.si, or ordinary mail","Anyone can submit a report if they feel that someone is violating the GDPR or the Slovenian Personal Data Protection Act.","The Information Commissioner recommends using the appropriate form and states that the report may be sent by email or ordinary mail; the site also says an online form is available for reporting violations.","The authority says it will try to provide an answer in the shortest time possible.","Strong Slovenia route for reports and complaint-style supervisory interventions.",2026-04-24
