country_code,country_name,section_name,monitoring_summary,monitoring_urls,reporting_summary,reporting_urls,enforcement_summary,enforcement_urls,last_verified,notes
FI,Finland,National,Etelä-Suomen aluehallintovirasto / Regionförvaltningsverket i Södra Finland (Regional State Administrative Agency for Southern Finland),https://www.saavutettavuusvaatimukset.fi/yhteystiedot/,Etelä-Suomen aluehallintovirasto / Regionförvaltningsverket i Södra Finland (Regional State Administrative Agency for Southern Finland),https://www.saavutettavuusvaatimukset.fi/yhteystiedot/,Etelä-Suomen aluehallintovirasto / Regionförvaltningsverket i Södra Finland (Regional State Administrative Agency for Southern Finland),https://www.saavutettavuusvaatimukset.fi/yhteystiedot/,2026-04-23,
FI,Finland,Åland,Ålands landskapsregering (The Government of Åland),https://www.regeringen.ax/,,,Ålands landskapsregering (The Government of Åland),https://www.regeringen.ax/,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
FR,France,National,"Direction générale de la cohésion sociale, DGCS (Directorate General for Social Cohesion)",https://solidarites-sante.gouv.fr/ministere/organisation/organisation-des-directions-et-services/article/organisation-de-la-direction-generale-de-la-cohesion-sociale-dgcs,"Direction générale de la cohésion sociale, DGCS (Directorate General for Social Cohesion)",https://solidarites-sante.gouv.fr/ministere/organisation/organisation-des-directions-et-services/article/organisation-de-la-direction-generale-de-la-cohesion-sociale-dgcs,Défenseur des droits (Defender of Rights),https://www.defenseurdesdroits.fr/,2026-04-23,
DE,Germany,Federal level,Überwachungsstelle des Bundes für Barrierefreiheit von Informationstechnik bei der Deutschen Rentenversicherung Knappschaft/Bahn/See (Federal Monitoring Body for Accessibility of Information Technology),https://www.bfit-bund.de/,"Bundesministerium für Arbeit und Soziales, BMAS (Federal Ministry of Labour and Social Affairs)",https://www.bmas.de/,Beauftragte(r) der Bundesregierung für die Belange von Menschen mit Behinderungen - Schlichtungsstelle nach § 16 BGG (Federal Arbitration Board at the Federal Government Commissioner for matters relating of Persons with Disabilities - Arbitration Service according to the German Act on Equal Opportunities for Persons with Disabilities),https://www.behindertenbeauftragter.de/DE/SchlichtungsstelleBGG/SchlichtungsstelleBGG_node.html,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Baden-Württemberg,Überwachungsstelle für mediale Barrierefreiheit Baden-Württemberg (Monitoring body of Land Baden-Württemberg for media accessibility),https://bw-medial-barrierefrei.de/,,,Schlichtungsstelle beim Kompetenzzentrum für Barrierefreiheit des Landes Baden-Württemberg (Arbitration Office at the Baden-Württemberg Accessibility Competence Centre),https://barrierefreiheit-bw.de/barrierefreiheitdurchsetzen/schlichtungsstelle,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Bayern (Bavaria),"Landesamt für Digitalisierung, Breitband und Vermessung (Agency for Digitisation, High-Speed Internet and Surveying)",https://www.ldbv.bayern.de/digitalisierung/bitv.html,,,"Landesamt für Digitalisierung, Breitband und Vermessung (Agency for Digitisation, High-Speed Internet and Surveying)",https://www.ldbv.bayern.de/digitalisierung/bitv.html,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Berlin,Überwachungsstelle für Barrierefreiheit in der Informations- und Kommunikationstechnik der öffentlichen Stellen des Landes Berlin / Überwachungsstelle für digitale Barrierefreiheit (Monitoring office for accessibility in the information and communication technology of the public authorities of the State of Berlin),https://www.berlin.de/sen/inneres/moderne-verwaltung/digitale-barrierefreiheit/ueberwachungsstelle,,,Überwachungsstelle für Barrierefreiheit in der Informations- und Kommunikationstechnik der öffentlichen Stellen des Landes Berlin / Überwachungsstelle für digitale Barrierefreiheit (Monitoring office for accessibility in the information and communication technology of the public authorities of the State of Berlin),https://www.berlin.de/sen/inneres/moderne-verwaltung/digitale-barrierefreiheit/ueberwachungsstelle,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Brandenburg,"Landesamt für Soziales und Versorgung Brandenburg (State Office for Social Affairs and Supply, Brandenburg)",https://lasv.brandenburg.de/lasv/de/aufsicht/ueberwachungsstelle-barrierefreies-internet/,,,Durchsetzungsstelle bei der beauftragten Person der Landesregierung für die Belange der Menschen mit Behinderungen (Enforcement body at the person commissioned by the state government to enforce the interests of people with disabilities),https://msgiv.brandenburg.de/msgiv/de/beauftragte/landesbehindertenbeauftragte/,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Bremen,Zentralstelle für barrierefreie Informationstechnik beim Landesbehindertenbeauftragten Bremen (Central office for accessible information technology at the Commissioner for Matters relating to Persons with Disabilities for the Free Hanseatic City of Bremen),https://www.behindertenbeauftragter.bremen.de/detail.php?gsid=bremen55.c.28011.de,,,Zentralstelle für barrierefreie Informationstechnik beim Landesbehindertenbeauftragten Bremen (Central office for accessible information technology at the Commissioner for Matters relating to Persons with Disabilities for the Free Hanseatic City of Bremen),https://www.behindertenbeauftragter.bremen.de/detail.php?gsid=bremen55.c.28011.de,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Hamburg,"Überwachungsstelle für barrierefreie Informationstechnik - Amt für IT und Digitalisierung, Datenschutz, IT-Richtlinien, IT-Mitbestimmung & Barrierefreiheit beim Senat der Freien und Hansestadt Hamburg (Monitoring Centre for Accessible Information Technology - Office for IT and Digitisation, Data Protection, IT Guidelines, IT Co-Determination & Accessibility at the Senate of the Free and Hanseatic City of Hamburg)",,,,"Ombudsstelle für barrierefreie Informationstechnik - Amt für IT und Digitalisierung, Datenschutz, IT-Richtlinien, IT-Mitbestimmung & Barrierefreiheit beim Senat der Freien und Hansestadt Hamburg (Ombudsperson's Office for Accessible Information Technology - Office for IT and Digitisation, Data Protection, IT Guidelines, IT Co-Determination & Accessibility at the Senate of the Free and Hanseatic City of Hamburg)",,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Hessen (Hesse),Durchsetzungs- und Überwachungsstelle Barrierefreie Informationstechnik beim Regierungspräsidium in Gießen (Enforcement and Monitoring Centre for Barrier-Free Information Technology at the Regional Council of the City of Gießen),https://rp-giessen.hessen.de/%C3%BCber-uns/beauftragte-f%C3%BCr-barrierefreie-it,,,Durchsetzungs- und Überwachungsstelle Barrierefreie Informationstechnik beim Regierungspräsidium in Gießen (Enforcement and Monitoring Centre for Barrier-Free Information Technology at the Regional Council of the City of Gießen),https://rp-giessen.hessen.de/%C3%BCber-uns/beauftragte-f%C3%BCr-barrierefreie-it,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Mecklenburg-Vorpommern (Mecklenburg-Western Pomerania),"Ministerium für Soziales, Integration und Gleichstellung des Landes Mecklenburg-Vorpommern (Ministry of Social Affairs, Integration and Equality of the State of Mecklenburg-Western Pomerania)",http://www.barrierefreies-web-mv.de,,,"Ministerium für Soziales, Integration und Gleichstellung des Landes Mecklenburg-Vorpommern (Ministry of Social Affairs, Integration and Equality of the State of Mecklenburg-Western Pomerania)",http://www.barrierefreies-web-mv.de,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Niedersachsen (Lower Saxony),"Überwachungsstelle des Landes für die Barrierefreiheit von Informationstechnik bei dem Niedersächsischen Ministerium für Soziales, Gesundheit und Gleichstellung (State Monitoring Body for the Accessibility of Information Technology at the Ministry of Social Affairs, Health and Equality of Lower Saxony)",https://www.ms.niedersachsen.de/startseite/service_kontakt/barrierefreie_it/barrierefreie-it-in-niedersachsen-183088.html,,,Schlichtungsstelle bei der Landesbeauftragten für Menschen mit Behinderungen (Conciliation office at the State Commissioner for People with Disabilities),https://www.ms.niedersachsen.de/startseite/soziales_inklusion/soziales/inklusion_von_menschen_mit_behinderungen/landesbeauftragter-fuer-menschen-mit-behinderungen-13767.html,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Nordrhein-Westfalen (North Rhine-Westphalia),"Überwachungsstelle für barrierefreie Informationstechnik des Landes Nordrhein-Westfalen beim Kompetenzzentrum Barrierefreie IT, KBIT (Monitoring Centre for Accessible Information Technology of the State of North Rhine-Westphalia at the Competence Centre for Accessible IT)",https://www.mags.nrw/ueberwachungsstelle-barrierefreie-informationstechnik,,,Ombudsstelle für barrierefreie Informationstechnik des Landes Nordrhein-Westfalen (Ombudsperson's Office for Accessible Information Technology in North Rhine-Westphalia),https://www.mags.nrw/ombudsstelle-barrierefreie-informationstechnik,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Rheinland-Pfalz (Rhineland-Palatinate),"Landesamt für Steuern – Zentrale Datenverarbeitung der Finanzverwaltung, ZDFin (State Tax Office - Central Data Processing of the Financial Administration)",https://www.lfst-rlp.de/wir-ueber-uns/organisation,,,Durchsetzungsstelle bei der oder dem Landesbeauftragten für die Belange behinderter Menschen (Enforcement body at the State Commissioner for the Interests of Disabled Persons),https://inklusion.rlp.de/de/landesbeauftragter-landesteilhabebeirat,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Saarland,Überwachungsstelle Digitale Barrierefreiheit Saarland beim Deutschen Institut für Menschenrechte – Monitoring-Stelle UN-Behindertenrechtskonvention (Monitoring Body for Digital Accessibility of the Saarland at the National Monitoring Mechanism for the UN Convention on the Rights of Persons with Disabilities at the German Institute for Human Rights),https://www.institut-fuer-menschenrechte.de/monitoring-stelle-un-brk/bundeslaender/saarland,,,Beauftragte(r) für die Belange von Menschen mit Behinderungen des Landes Saarlands (Commissioner for the interests of people with disabilities in the State of Saarland),https://www.landtag-saar.de/landtag/beauftragter-fuer-belange-von-menschen-mit-behinderungen/,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Sachsen (Saxony),Überwachungsstelle für Barrierefreiheit von Informationstechnik beim Deutschen Zentrum für barrierefreies Lesen in Leipzig (Monitoring Body for Accessibility of Information Technology at the German Centre for Accessible Reading in Leipzig),https://www.dzblesen.de/bfit-sachsen,,,Geschäftsstelle des Beauftragten der Staatsregierung für die Belange von Menschen mit Behinderungen (Office of the Commissioner of the State Government for the Affairs of Persons with Disabilities),https://www.inklusion.sachsen.de/,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Sachsen-Anhalt (Saxony-Anhalt),Überwachungsstelle des Landes für die Barrierefreiheit von Informationstechnik bei der Landesfachstelle für Barrierefreiheit - bei der Unfallkasse Sachsen-Anhalt (Monitoring Centre for the Accessibility of Information Technology at the State Office for Accessibility - at the Unfallkasse Sachsen-Anhalt),https://www.lf-barrierefreiheit-st.de,,,Ombudsstelle bei der Landesfachstelle für Barrierefreiheit - bei der Unfallkasse Sachsen-Anhalt (Ombudsperson's Office at the State Office for Accessibility - at the Unfallkasse Sachsen-Anhalt),https://www.lf-barrierefreiheit-st.de,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Schleswig-Holstein,Prüfstelle für barrierefreie Informationstechnik beim Chief Information Officer Schleswig-Holstein (Monitoring body for accessible information technology associated with the chief information officer of Schleswig-Holstein),https://www.schleswig-holstein.de/DE/Fachinhalte/D/Digitalisierung/pruefstelle_barrierefreiheit/pruefstelle_barrierefreiheit_start.html,,,Beschwerdestelle für barrierefreie Informationstechnik Schleswig-Holstein (Complaints office for accessible information technology Schleswig-Holstein),https://www.landtag.ltsh.de/beauftragte/beschwerdestelle-fuer-barrieren/,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
DE,Germany,Thüringen (Thuringia),Zentrale Überwachungsstelle für digitale Barrierefreiheit beim Thüringer Ministerium für Finanzen (Central monitoring body for accessible IT at the Thuringian Ministry of Finance),https://finanzen.thueringen.de/ministerium/zentrale-ueberwachungsstelle-digitale-barrierefreiheit/,,,Durchsetzungsstelle beim Beauftragten für Menschen mit Behinderungen (Enforcement Body at the State Commissioner for People with Disabilities),https://www.thueringen.de/th10/bb/Barrierefreiheit_und_Landesdurchsetzungsstelle/index.aspx,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
GR,Greece,National,"Υπουργείο Ψηφιακής Διακυβέρνησης, Γενική Γραμματεία Πληροφοριακών Συστημάτων και Ψηφιακής Διακυβέρνησης, Διεύθυνση Ψηφιακής Στρατηγικής, Τμήμα Ψηφιακής Προσβασιμότητας & Κοινωνικών Υποθέσεων (Ministry of Digital Governance, General Secretariat of Information Systems and Digital Governance, Directorate of Digital Strategy, Web Accessibility and Social Affairs Dept.)",https://gsis.gr/tomeis-politikis/tomeis-politikis-psifiaki-diakybernisi/psifiaki-prosbasimotita,"Υπουργείο Ψηφιακής Διακυβέρνησης, Γενική Γραμματεία Πληροφοριακών Συστημάτων και Ψηφιακής Διακυβέρνησης, Διεύθυνση Ψηφιακής Στρατηγικής, Τμήμα Ψηφιακής Προσβασιμότητας & Κοινωνικών Υποθέσεων (Ministry of Digital Governance, General Secretariat of Information Systems and Digital Governance, Directorate of Digital Strategy, Web Accessibility and Social Affairs Dept.)",https://gsis.gr/tomeis-politikis/tomeis-politikis-psifiaki-diakybernisi/psifiaki-prosbasimotita,"Υπουργείο Ψηφιακής Διακυβέρνησης, Γενική Γραμματεία Πληροφοριακών Συστημάτων και Ψηφιακής Διακυβέρνησης, Διεύθυνση Ψηφιακής Στρατηγικής (Ministry of Digital Governance, General Secretariat of Information Systems and Digital Governance, Directorate of Digital Strategy)",https://gsis.gr/tomeis-politikis/tomeis-politikis-psifiaki-diakybernisi/psifiaki-prosbasimotita,2026-04-23,
HU,Hungary,National,"Kormányzati Informatikai Fejlesztési Ügynökség, KIFÜ (Governmental Agency for IT Development)",https://kifu.gov.hu/,"Kormányzati Informatikai Fejlesztési Ügynökség, KIFÜ (Governmental Agency for IT Development)",https://kifu.gov.hu/,"Kormányzati Informatikai Fejlesztési Ügynökség, KIFÜ (Governmental Agency for IT Development)",https://kifu.gov.hu/,2026-04-23,
IE,Ireland,National,"Údarás Náisiúnta Míchumais (The National Disability Authority, NDA)",http://nda.ie/,"An Roinn Comhshaoil, Aeráide & Cumarsáide (Department of Environment, Climate & Communications, DECC)",https://www.gov.ie/decc,"An Choimisiúin um Chaidreamh san Áit Oibre (Director of the Workplace Relations Commission); complaints may also be submitted to the Office of The Ombudsman under the Disability Act 2005, as referenced in the Irish Regulations (Section 7(4)c in SI 358:2020)",https://www.workplacerelations.ie/ ; https://www.ombudsman.ie/,2026-04-23,
IT,Italy,National,"Agenzia per l'Italia Digitale, AgID (Agency for Digital Italy)",https://www.agid.gov.it/,"Agenzia per l'Italia Digitale, AgID (Agency for Digital Italy)",https://www.agid.gov.it/,Il difensore civico per il digitale (Digital Ombudsman),https://www.agid.gov.it/it/agenzia/difensore-civico-il-digitale,2026-04-23,
LV,Latvia,National,"Vides aizsardzības un reģionālās attīstības ministrija, VARAM (Ministry of Environmental Protection and Regional Development)",http://www.varam.gov.lv/,"Vides aizsardzības un reģionālās attīstības ministrija, VARAM (Ministry of Environmental Protection and Regional Development)",http://www.varam.gov.lv/,Latvijas Republikas Tiesībsargs (Ombudsman of Latvia),http://www.tiesibsargs.lv/,2026-04-23,
LT,Lithuania,National,Informacinės visuomenės plėtros komitetas (Information Society Development Committee),https://ivpk.lrv.lt/,Informacinės visuomenės plėtros komitetas (Information Society Development Committee),https://ivpk.lrv.lt/,Informacinės visuomenės plėtros komitetas (Information Society Development Committee),https://ivpk.lrv.lt/,2026-04-23,
LU,Luxembourg,National,"Service information et presse, SIP / Informations- und Presseamt / Informatiouns- a Pressedéngscht (Information and Press Service)",https://sip.gouvernement.lu/,"Service information et presse, SIP / Informations- und Presseamt / Informatiouns- a Pressedéngscht (Information and Press Service)",https://sip.gouvernement.lu/,"Service information et presse, SIP / Informations- und Presseamt / Informatiouns- a Pressedéngscht (Information and Press Service), and Médiateur / Ombudsmann / Ombudsman (Ombudsman)",https://sip.gouvernement.lu/ ; http://ombudsman.lu/,2026-04-23,
MT,Malta,National,"Malta Communications Authority, MCA",https://www.mca.org.mt/,"Malta Communications Authority, MCA",https://www.mca.org.mt/,"Malta Communications Authority, MCA",https://www.mca.org.mt/,2026-04-23,
NL,Netherlands,National,Minister van Binnenlandse Zaken en Koninkrijksrelaties (Minister of the Interior and Kingdom Relations),https://www.rijksoverheid.nl/ministeries/ministerie-van-binnenlandse-zaken-en-koninkrijksrelaties,Minister van Binnenlandse Zaken en Koninkrijksrelaties (Minister of the Interior and Kingdom Relations),https://www.rijksoverheid.nl/ministeries/ministerie-van-binnenlandse-zaken-en-koninkrijksrelaties,"gedeputeerde staten: Drenthe, Flevoland, Fryslân, Gelderland, Groningen, Limburg, Noord-Brabant, Noord-Holland, Overijssel, Utrecht, Zeeland, Zuid-Holland (provincial executive) for municipalities and water authorities; Minister van Binnenlandse Zaken en Koninkrijksrelaties (Minister of the Interior and Kingdom Relations) for provinces; nationale Ombudsman (national ombudsman) or gemeentelijke Ombudsman: Ombudsvoorzieningen G and Ombudsvoorzieningen O (municipal ombudsman) in relation to the reply in the feedback mechanism; complaints may also be submitted to the College voor de rechten van de mens (The Netherlands Institute for Human Rights)",https://www.drenthe.nl/ ; https://www.visitflevoland.nl/ ; http://www.fryslan.nl/ ; https://www.gelderland.nl/ ; https://www.provinciegroningen.nl/ ; https://www.limburg.nl/ ; https://www.brabant.nl/ ; https://www.noord-holland.nl/ ; http://www.overijssel.nl/ ; http://www.provincie-utrecht.nl/ ; https://www.zeeland.nl/ ; http://www.zuid-holland.nl/ ; https://www.rijksoverheid.nl/ministeries/ministerie-van-binnenlandse-zaken-en-koninkrijksrelaties ; https://www.nationaleombudsman.nl/ ; https://www.nationaleombudsman.nl/ombudsvoorzieningen/#G ; https://www.nationaleombudsman.nl/ombudsvoorzieningen/#O ; https://mensenrechten.nl/,2026-04-23,
PL,Poland,National,Minister właściwy do spraw informatyzacji: Minister Cyfryzacji (Minister responsible for informatisation: currently the Minister of Digital Affairs),https://www.gov.pl/web/cyfryzacja,Minister właściwy do spraw informatyzacji: Minister Cyfryzacji (Minister responsible for informatisation: currently the Minister of Digital Affairs),https://www.gov.pl/web/cyfryzacja,Minister właściwy do spraw informatyzacji: Minister Cyfryzacji (Minister responsible for informatisation: currently the Minister of Digital Affairs),https://www.gov.pl/web/cyfryzacja,2026-04-23,
PT,Portugal,National,"Agência para a Modernização Administrativa I.P., AMA (Administrative Modernization Agency, Public Agency)",https://www.ama.gov.pt/,"Agência para a Modernização Administrativa I.P., AMA (Administrative Modernization Agency, Public Agency)",https://www.ama.gov.pt/,"Instituto Nacional para a Reabilitação I.P., INR (National Institute for the Rehabilitation, Public Agency)",http://www.inr.pt/,2026-04-23,
RO,Romania,National,"Autoritatea pentru Digitalizarea României (Authority for the Digitalisation of Romania, ADR)",https://www.adr.gov.ro/__;!!DOxrgLBm!FsQ09UTK1xxFPRf9VOqUi-bDLrhkP-D32xXEHzxTy0SLx3KwZdCOYmxdAzPvoNUOTIrqAhzfMgP5T1z9p4qoZ7xoaB5uM2onuqVD$,"Autoritatea pentru Digitalizarea României (Authority for the Digitalisation of Romania, ADR)",https://www.adr.gov.ro/__;!!DOxrgLBm!FsQ09UTK1xxFPRf9VOqUi-bDLrhkP-D32xXEHzxTy0SLx3KwZdCOYmxdAzPvoNUOTIrqAhzfMgP5T1z9p4qoZ7xoaB5uM2onuqVD$,Avocatul Poporului (People’s Advocate),https://avp.ro/__;!!DOxrgLBm!FsQ09UTK1xxFPRf9VOqUi-bDLrhkP-D32xXEHzxTy0SLx3KwZdCOYmxdAzPvoNUOTIrqAhzfMgP5T1z9p4qoZ7xoaB5uM3wlQXvB$,2026-04-23,
SK,Slovakia,National,"Ministerstvo investícií, regionálneho rozvoja a informatizácie Slovenskej republiky",https://mirri.gov.sk/sekcie/informatizacia/dokumenty/standardy-isvs/pristupnost-webovych-sidel/skolenie-webovej-pristupnosti/,"Ministerstvo investícií, regionálneho rozvoja a informatizácie Slovenskej republiky",https://mirri.gov.sk/sekcie/informatizacia/dokumenty/standardy-isvs/pristupnost-webovych-sidel/skolenie-webovej-pristupnosti/,"Ministerstvo investícií, regionálneho rozvoja a informatizácie Slovenskej republiky",https://mirri.gov.sk/sekcie/informatizacia/dokumenty/standardy-isvs/pristupnost-webovych-sidel/skolenie-webovej-pristupnosti/,2026-04-23,
