country_code,country_name,display_order,body_name,body_description,website_urls,source_url,last_verified,notes
GR,Greece,1,Συνήγορος του Πολίτη,Greek Ombudsman,http://www.synigoros.gr/,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
HU,Hungary,1,Alapvető Jogok Biztosa,Commissioner for Fundamental Rights,http://www.ajbh.hu,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
IE,Ireland,1,Irish Human Rights and Equality Commission,,http://www.ihrec.ie,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
IT,Italy,1,Comitato Nazionale di Parità,,https://www.lavoro.gov.it/temi-e-priorita/parita-e-pari-opportunita/focus-on/Comitato-Nazionale-Parita/Pagine/default.aspx,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
LV,Latvia,1,Office of the Ombudsman,,http://www.tiesibsargs.lv,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
LT,Lithuania,1,Office of the Equal Opportunities Ombudsman,,http://www.lygybe.lt,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
LU,Luxembourg,1,Center for Equal Treatment,,http://www.cet.lu,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
MT,Malta,1,National Commission for the Promotion of Equality,,https://ncpe.gov.mt/about-us/functions-of-the-commission/,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
NL,Netherlands,1,Netherlands Institute for Human Rights,,http://www.mensenrechten.nl,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
PL,Poland,1,Commissioner for Human Rights,,http://www.rpo.gov.pl,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
PT,Portugal,1,CITE Comissão para a Igualdade no Trabalho e no Emprego,Commission for Equality in Labour and Employment,http://www.cite.gov.pt/,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
PT,Portugal,2,Commission for Citizenship and Gender Equality,,http://www.cig.gov.pt,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
RO,Romania,1,National Council for Combating Discrimination,,http://www.cncd.ro,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
SK,Slovakia,1,National Center for Human Rights,,http://www.snslp.sk,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
SI,Slovenia,1,Advocate for the principle of Equality,,http://zagovornik.gov.si,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
ES,Spain,1,Instituto de la Mujer,Women´s and Equal Opportunities Institute,http://www.inmujer.es/,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
SE,Sweden,1,Diskriminerings ombudsmannen,Equality Ombudsman,http://www.do.se/,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
