country_code,country_name,region,official_name,informal_title,legal_responsibility,phone,email,website,address,extra_contact_details,source_page_url,source_iframe_url,last_verified,notes
AT,Austria,* National coverage / competence (AT),Schlichtungsstelle der Rundfunk und Telekom Regulierungs-GmbH (RTR-GmbH) für Telekommunikation,Telecommunications-Conciliation body (RTR),,0043 1 58058 0,rtr@rtr.at,https://www.rtr.at/schlichtungsstelle,Mariahilfer Straße 77-79; 1060 Wien,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Official source row does not list a legal responsibility in this snapshot. Source lists this entry with regional or sectoral scope metadata.
AT,Austria,* National coverage / competence (AT),Schutzverband gegen unlauteren Wettbewerb,Austrian Association against Unfair Competition,,01-5057893,office@schutzverband.at,http://www.schutzverband.at,Ditscheinergasse 4; 1030 Wien,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Official source row does not list a legal responsibility in this snapshot. Source lists this entry with regional or sectoral scope metadata.
BE,Belgium,Brussels-Capital Region,"Test Aankoop, Test Achats","""Test Achats"" / ""Test shopping"" (consumer organisation)",,+32 2 542 32 32,test-achats@test-achats.be,http://www.test-aankoop.be,Hollandstraat 13; 1060 Brussel,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Official source row does not list a legal responsibility in this snapshot. Source lists this entry with regional or sectoral scope metadata.
BG,Bulgaria,,Българска народна банка,Bulgarian National Bank,"Directive 2014/17/EU on credit agreements for consumers for residential property, Directive 2014/92/EU on the comparability of fees related to payment accounts, Legal responsibility for enforcing the following Union law(s):",+359 2 91459,press_office@bnbank.org,http://www.bnb.bg,"пл. ""Княз Александър I"" № 1; 1000 София",,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
BG,Bulgaria,,Главна дирекция ”Гражданска въздухоплавателна администрация”,Directorate General Civil Aviation Administration,"Directive 2014/17/EU on credit agreements for consumers for residential property, Directive 2014/92/EU on the comparability of fees related to payment accounts, Legal responsibility for enforcing the following Union law(s):",+359 2 948 80 27,caa@caa.bg,http://www.caa.bg,"ул. ""Дякон Игнатий"" № 9; 1000 София",,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
BG,Bulgaria,,"Изпълнителна агенция ""Железопътна администрация"" (НОБ)",Railway Administration Executive Agency (NSA),"Legal responsibility for enforcing the following Union law(s):, Regulation (EU) No 2021/782 on rail passengers' rights and obligations (repealing Regulation (EC) No 1371/2007)",+359 2 9409 428,kabinet-IAJA@mtitc.government.bg,http://www.iaja.government.bg,ул. „Ген. Й. Гурко“ № 5; 1000 София,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
BG,Bulgaria,,Изпълнителна агенция по лекарствата,Bulgarian Drug Agency,"Directive 2001/83/EC on medicinal products for human use, Legal responsibility for enforcing the following Union law(s):",+359 28903555,bda@bda.bg,https://www.bda.bg/bg/,Дамян Груев 8; 1303 София,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
BG,Bulgaria,,Изпълнителна агенция “Автомобилна администрация”,"Executive Agency ""Automobile Administration""","Legal responsibility for enforcing the following Union law(s):, Regulation (EU) No 181/2011 on passengers' rights in bus and coach transport",+359 29308833,avto_a@rta.government.bg,https://rta.government.bg/,ул. “Гурко” №5; 1000 София,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
BG,Bulgaria,,Комисия за защита на конкуренцията,Commission on Protection of Competition,"Directive 2006/114/EC on misleading and comparative advertising, Legal responsibility for enforcing the following Union law(s):",+359 2 9356113,cpcadmin@cpc.bg,http://www.cpc.bg,"бул. ""Витоша"" № 18; 1000 София",,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
BG,Bulgaria,,Министерство на икономиката и индустрията,Ministry of Economy and Energy,"Directive (EU) 2015/2302 on package travel and linked travel arrangements, Directive 1999/44/EC on the sale of consumer goods and associated guarantees, Directive 2000/31/EC on electronic commerce, Directive 2001/83/EC on medicinal products for human use, Directive 2002/65/EC on distance marketing of consumer financial services, Directive 2005/29/EC on unfair commercial practices, Directive 2008/122/EC on timeshare, long-term holiday product, resale and exchange contracts, Directive 2008/48/EC on credit agreements for consumers, Directive 2011/83/EU on consumer rights, Directive 2013/11/EU on consumer ADR, Directive 2014/17/EU on credit agreements for consumers for residential property, Directive 93/13/EEC on unfair terms in consumer contracts, Directive 98/6/EC on consumer protection in the indication of the prices of products, Legal responsibility for enforcing the following Union law(s):, Regulation (EU) 2018/302 addressing unjustified geo-blocking",+359 9407417,e-docs@mi.government.bg,https://www.mi.government.bg,Славянска 8; 1000 София,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
BG,Bulgaria,,Министерство на туризма,"Ministry of Economy and Energy, ""Tourism Policy"" Directorate","Directive (EU) 2015/2302 on package travel and linked travel arrangements, Legal responsibility for enforcing the following Union law(s):",+359 29046871,tourism@tourism.government.bg,http://www.tourism.government.bg/,"ул.""Съборна"" 1; 1000 София",,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
HR,Croatia,,Agencija za elektroničke medije,Agency for Electronic Media,"Directive 2010/13/EU on audiovisual media services, Legal responsibility for enforcing the following Union law(s):",+385 1 488 2613,info@aem.hr,http://www.aem.hr,Jagićeva 31; 10 000 Zagreb,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
HR,Croatia,,Hrvatska agencija za civilno zrakoplovstvo,Croatian Civil Aviation Agency,"Legal responsibility for enforcing the following Union law(s):, Regulation (EC) No 1107/2006 on disabled persons' and persons with reduced mobility's rights when travelling by air, Regulation (EC) No 261/2004 on denied boarding and of cancellation or long delay of flights",+38512369300,ccaa@ccaa.hr,http://www.ccaa.hr,Ulica grada Vukovara 284; 100000 Zagrab,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
HR,Croatia,,Hrvatska regulatorna agencija za mrežne djelatnosti,Croatian Regulatory Authority for Network Industries,"Directive 2002/58/EC on privacy and electronic communications, Legal responsibility for enforcing the following Union law(s):, Regulation (EU) 2017/1128 on cross-border portability of online content services, Regulation (EU) No 2021/782 on rail passengers' rights and obligations (repealing Regulation (EC) No 1371/2007)",+ 385 1 700 7007,info@hakom.hr,http://www.hakom.hr,Roberta Frangeša Mihanovića 9; 10 000 Zagreb,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
HR,Croatia,,Ministarstvo gospodarstva (NIMIC - SOLVIT Centre),Ministry of Economy (NIMIC - SOLVIT Centre),,+385 1 6109 370,vjekoslav.gacar@mingo.hr,https://mingor.gov.hr/o-ministarstvu-1065/djelokrug/uprava-za-trgovinu-i-politiku-javne-nabave/slobodno-trziste-usluga-i-roba/liberalizacija-trzista-usluga/7028,Ulica grada Vukovara 78; 10000 Zagreb,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Official source row does not list a legal responsibility in this snapshot.
HR,Croatia,,"Ministarstvo mora, prometa i infrastrukture","Ministry of the Sea, Transport and Infrastructure",,+385 1 6169 111,europski.poslovi@mmpi.hr,,Prisavlje 14; 10 000 Zagreb,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Official source row does not list a legal responsibility in this snapshot.
CY,Cyprus,,Αρχή Ραδιοτηλεόρασης Κύπρου,Cyprus Ratiotelevision Authority,"Directive 2010/13/EU on audiovisual media services, Legal responsibility for enforcing the following Union law(s):",+357 22 512468,crtauthority@crta.org.cy,http://www.crta.org.cy,42 Athalassas Avenue; 2012 Nicosia,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
CY,Cyprus,,Γραφείο Επιτρόπου Προστασίας Δεδομένων Προσωπικού Χαρακτήρα,SA Cyprus (Office of the Commissioner for Personal Data Protection),"Directive 2002/58/EC on privacy and electronic communications, Legal responsibility for enforcing the following Union law(s):",+357 22 818456,imi@dataprotection.gov.cy,http://www.dataprotection.gov.cy,"15, Kypranoros str.; 1061 Nicosia",,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
CY,Cyprus,,Συμβούλιο Φαρμακευτικής Κύπρου - (Υπουργείο Υγείας – Κυπριακή Δημοκρατία),Pharmaceutical Council Cyprus (Ministry of Health – Republic of Cyprus),,+357 22 608637,phscentral@phs.moh.gov.cy,http://www.moh.gov.cy/phs,Πολυφήμου 15; 2033 Λευκωσία,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Official source row does not list a legal responsibility in this snapshot.
CY,Cyprus,,"Τμήμα Εφόρου Εταιρειών και Διανοητικής Ιδιοκτησίας ( Υπουργείο Ενέργειας, Εμπορίου και Βιομηχανίας)","Registrar of Companies and Official Receiver (D.R.C.O.R.) (Ministry of Energy, Commerce and Industry)","Legal responsibility for enforcing the following Union law(s):, Regulation (EU) 2017/1128 on cross-border portability of online content services",+357 22404301,eterion@drcor.meci.gov.cy,http://www.meci.gov.cy/drcor,"Γωνία Λεωφόρου Μακαρίου ΙΙΙ και Καρπενησίου, Κτίριο ""Ξένιος""; 1427 Λευκωσία",,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
CY,Cyprus,,"Τμήμα Πολιτικής Αεροπορίας - Υπουργείο Μεταφορών, Επικοινωνιών και Έργων","Civil Aviation Department - Ministry of Transport, Communications and Works","Legal responsibility for enforcing the following Union law(s):, Regulation (EC) No 1008/2008 on common air services rules in the Community, Regulation (EC) No 1107/2006 on disabled persons' and persons with reduced mobility's rights when travelling by air, Regulation (EC) No 261/2004 on denied boarding and of cancellation or long delay of flights",+357 22404102,director@dca.mcw.gov.cy,http://www.mcw.gov.cy/dca,Πινδάρου 27; 1429 Λευκωσία,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
CY,Cyprus,,"Υπηρεσία Βιομηχανίας και Τεχνολογίας (Υπουργείο Ενέργειας, Εμπορίου και Βιομηχανίας)","Industry and Technology Service (Ministry of Energy, Commerce and Industry)","Directive 2000/31/EC on electronic commerce, Directive 2006/123/EC on services in the internal market, Legal responsibility for enforcing the following Union law(s):, Regulation (EU) 2018/302 addressing unjustified geo-blocking",+357 22867193,ksolomou@meci.gov.cy,http://www.mcit.gov.cy,"6-8, Andreas Araouzos; 1421 Λευκωσία",,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
CY,Cyprus,,Υφυπουργείο Ναυτιλίας,Shipping Deputy Ministry,"Legal responsibility for enforcing the following Union law(s):, Regulation (EU) No 1177/2010 on passengers' rights when travelling by sea and inland waterway",+357 25 848100,maritimeadmin@dms.gov.cy,https://www.shipping.gov.cy,Kyllinis street; 4007 Limassol,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
CY,Cyprus,,Φαρμακευτικές Υπηρεσίες (Υπουργείο Υγείας – Κυπριακή Δημοκρατία),Medicine Administration - Pharmaceutical Services (Ministry of Health – Republic of Cyprus),"Directive 2001/83/EC on medicinal products for human use, Legal responsibility for enforcing the following Union law(s):",+357 22608607,phscentral@phs.moh.gov.cy,http://www.moh.gov.cy/phs,Polyphemou 13; 2033 Nicosia,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
CZ,Czechia,,Energetický regulační úřad,Energy Regulatory Office,"Directive 2005/29/EC on unfair commercial practices, Directive 2011/83/EU on consumer rights, Directive 2013/11/EU on consumer ADR, Directive 93/13/EEC on unfair terms in consumer contracts, Legal responsibility for enforcing the following Union law(s):, Regulation (EU) No 524/2013 on consumer ODR",+420 564 578 666,podatelna@eru.gov.cz,http://www.eru.gov.cz,Masarykovo náměstí 5; 586 01 Jihlava,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
CZ,Czechia,,Generální ředitelství cel,The Customs Administration,"Directive 2005/29/EC on unfair commercial practices, Directive 2006/114/EC on misleading and comparative advertising, Legal responsibility for enforcing the following Union law(s):",+420 261 331 111,podatelna_generalnireditelstvicel@celnisprava.gov.cz,https://celnisprava.gov.cz/cz/Stranky/default.aspx,Budějovická 7; 14000 Praha 4,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
CZ,Czechia,,Ministerstvo dopravy České republiky,Ministry of Transport,"Legal responsibility for enforcing the following Union law(s):, Regulation (EU) No 181/2011 on passengers' rights in bus and coach transport",+420 225 131 111,posta@md.gov.cz,https://md.gov.cz/,nábř. Ludvíka Svobody 12; 11015 Praha 1,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
CZ,Czechia,,Ministerstvo financí České republiky,Ministry of Finance,"Directive 98/6/EC on consumer protection in the indication of the prices of products, Legal responsibility for enforcing the following Union law(s):",+420 257 042 392,podatelna@mfcr.cz,http://www.mfcr.cz/en/,Letenská 15; 118 10 Praha 1,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
CZ,Czechia,,Ministerstvo pro místní rozvoj České republiky,Ministry for Regional Development - Czech Republic,"Directive (EU) 2015/2302 on package travel and linked travel arrangements, Legal responsibility for enforcing the following Union law(s):",+420 224 861 312,podatelna@mmr.gov.cz,https://mmr.gov.cz/cs/uvod,Staroměstské nám. 6; 110 15 Praha 1,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
CZ,Czechia,,Ministerstvo průmyslu a obchodu České republiky - Odbor živností a spotřebitelské legislativy,Ministry of Industry and Trade - Trade department,"Directive (EU) 2015/2302 on package travel and linked travel arrangements, Directive 2005/29/EC on unfair commercial practices, Directive 2006/114/EC on misleading and comparative advertising, Legal responsibility for enforcing the following Union law(s):, Regulation (EC) No 1107/2006 on disabled persons' and persons with reduced mobility's rights when travelling by air, Regulation (EU) No 1177/2010 on passengers' rights when travelling by sea and inland waterway, Regulation (EU) No 181/2011 on passengers' rights in bus and coach transport, Regulation (EU) No 2021/782 on rail passengers' rights and obligations (repealing Regulation (EC) No 1371/2007)",+420 224 852 403,posta@mpo.gov.cz,http://www.mpo.gov.cz,Na Františku 32; 110 15 Praha,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
CZ,Czechia,,Ministerstvo zdravotnictví České republiky - Odbor ošetřovatelství a nelékařských povolání; orgán sítě CPC,Ministry of Health - Service responsible for nursing professions and other healthcare professions including the recognition of professional qualifications,"Directive 2000/31/EC on electronic commerce, Directive 2005/29/EC on unfair commercial practices, Directive 2006/114/EC on misleading and comparative advertising, Directive 2011/83/EU on consumer rights, Directive 98/6/EC on consumer protection in the indication of the prices of products, Legal responsibility for enforcing the following Union law(s):, Regulation (EU) No 524/2013 on consumer ODR",+420 224 971 111,podatelna@mzd.gov.cz,http://www.mzcr.cz,Palackého náměstí 4; 128 01 Praha 2,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
CZ,Czechia,,Státní plavební správa,State Navigation Authority,"Legal responsibility for enforcing the following Union law(s):, Regulation (EU) No 1177/2010 on passengers' rights when travelling by sea and inland waterway",+420 234 637 111,reditelstvi@sps.gov.cz,https://www.sps.gov.cz/,Jankovcova 4; 170 04 Praha 7,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
CZ,Czechia,,Státní veterinární správa České republiky,State Veterinary Administration of the Czech Republic,"Directive 2005/29/EC on unfair commercial practices, Legal responsibility for enforcing the following Union law(s):",+420 227 010 111,svscr@svscr.cz,http://www.svscr.cz,Slezská 7/100; 120 56 Praha 2,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,
