committee_code,role,mep_name,email,role_tag,source_url,last_verified
EUDS,vice_chair,Csaba MOLNÁR,csaba.molnar@europarl.europa.eu,euds_vice_chair,https://www.europarl.europa.eu/committees/en/euds/home/members,2026-04-24
EUDS,vice_chair,Sandra KALNIETE,sandra.kalniete@europarl.europa.eu,euds_vice_chair,https://www.europarl.europa.eu/committees/en/euds/home/members,2026-04-24
EUDS,vice_chair,Stefano CAVEDAGNA,stefano.cavedagna@europarl.europa.eu,euds_vice_chair,https://www.europarl.europa.eu/committees/en/euds/home/members,2026-04-24
EUDS,vice_chair,Vasile DÎNCU,vasile.dincu@europarl.europa.eu,euds_vice_chair,https://www.europarl.europa.eu/committees/en/euds/home/members,2026-04-24
FEMM,chair,Lina GÁLVEZ,lina.galvez@europarl.europa.eu,femm_chair,https://www.europarl.europa.eu/committees/en/femm/home/members,2026-04-24
FEMM,vice_chair,Dainius ŽALIMAS,dainius.zalimas@europarl.europa.eu,femm_vice_chair,https://www.europarl.europa.eu/committees/en/femm/home/members,2026-04-24
FEMM,vice_chair,Irene MONTERO,irene.montero@europarl.europa.eu,femm_vice_chair,https://www.europarl.europa.eu/committees/en/femm/home/members,2026-04-24
FEMM,vice_chair,Rosa ESTARÀS FERRAGUT,rosa.estarasferragut@europarl.europa.eu,femm_vice_chair,https://www.europarl.europa.eu/committees/en/femm/home/members,2026-04-24
FEMM,vice_chair,Marko VEŠLIGAJ,marko.vesligaj@europarl.europa.eu,femm_vice_chair,https://www.europarl.europa.eu/committees/en/femm/home/members,2026-04-24
FISC,chair,Pasquale TRIDICO,pasquale.tridico@europarl.europa.eu,fisc_chair,https://www.europarl.europa.eu/committees/en/fisc/home/members,2026-04-24
FISC,vice_chair,Kira Marie PETER-HANSEN,kiramarie.peterhansen@europarl.europa.eu,fisc_vice_chair,https://www.europarl.europa.eu/committees/en/fisc/home/members,2026-04-24
FISC,vice_chair,Regina DOHERTY,regina.doherty@europarl.europa.eu,fisc_vice_chair,https://www.europarl.europa.eu/committees/en/fisc/home/members,2026-04-24
FISC,vice_chair,Markus FERBER,markus.ferber@europarl.europa.eu,fisc_vice_chair,https://www.europarl.europa.eu/committees/en/fisc/home/members,2026-04-24
FISC,vice_chair,Matthias ECKE,matthias.ecke@europarl.europa.eu,fisc_vice_chair,https://www.europarl.europa.eu/committees/en/fisc/home/members,2026-04-24
HOUS,chair,Irene TINAGLI,irene.tinagli@europarl.europa.eu,hous_chair,https://www.europarl.europa.eu/committees/en/hous/home/members,2026-04-24
HOUS,vice_chair,Dirk GOTINK,dirk.gotink@europarl.europa.eu,hous_vice_chair,https://www.europarl.europa.eu/committees/en/hous/home/members,2026-04-24
HOUS,vice_chair,Vicent MARZÀ IBÁÑEZ,vicent.marza@europarl.europa.eu,hous_vice_chair,https://www.europarl.europa.eu/committees/en/hous/home/members,2026-04-24
HOUS,vice_chair,Ciaran MULLOOLY,ciaran.mullooly@europarl.europa.eu,hous_vice_chair,https://www.europarl.europa.eu/committees/en/hous/home/members,2026-04-24
HOUS,vice_chair,Regina DOHERTY,regina.doherty@europarl.europa.eu,hous_vice_chair,https://www.europarl.europa.eu/committees/en/hous/home/members,2026-04-24
IMCO,chair,Anna CAVAZZINI,anna.cavazzini@europarl.europa.eu,imco_chair,https://www.europarl.europa.eu/committees/en/imco/home/members,2026-04-24
IMCO,vice_chair,Christian DOLESCHAL,christian.doleschal@europarl.europa.eu,imco_vice_chair,https://www.europarl.europa.eu/committees/en/imco/home/members,2026-04-24
IMCO,vice_chair,Nikola MINCHEV,nikola.minchev@europarl.europa.eu,imco_vice_chair,https://www.europarl.europa.eu/committees/en/imco/home/members,2026-04-24
IMCO,vice_chair,Maria GRAPINI,maria.grapini@europarl.europa.eu,imco_vice_chair,https://www.europarl.europa.eu/committees/en/imco/home/members,2026-04-24
IMCO,vice_chair,Kamila GASIUK-PIHOWICZ,kamila.gasiukpihowicz@europarl.europa.eu,imco_vice_chair,https://www.europarl.europa.eu/committees/en/imco/home/members,2026-04-24
INTA,chair,Bernd LANGE,bernd.lange@europarl.europa.eu,inta_chair,https://www.europarl.europa.eu/committees/en/inta/home/members,2026-04-24
INTA,vice_chair,Manon AUBRY,manon.aubry@europarl.europa.eu,inta_vice_chair,https://www.europarl.europa.eu/committees/en/inta/home/members,2026-04-24
INTA,vice_chair,Iuliu WINKLER,iuliu.winkler@europarl.europa.eu,inta_vice_chair,https://www.europarl.europa.eu/committees/en/inta/home/members,2026-04-24
INTA,vice_chair,Karin KARLSBRO,karin.karlsbro@europarl.europa.eu,inta_vice_chair,https://www.europarl.europa.eu/committees/en/inta/home/members,2026-04-24
INTA,vice_chair,Kathleen VAN BREMPT,kathleen.vanbrempt@europarl.europa.eu,inta_vice_chair,https://www.europarl.europa.eu/committees/en/inta/home/members,2026-04-24
ITRE,chair,Borys BUDKA,borys.budka@europarl.europa.eu,itre_chair,https://www.europarl.europa.eu/committees/en/itre/home/members,2026-04-24
ITRE,vice_chair,Tsvetelina PENKOVA,tsvetelina.penkova@europarl.europa.eu,itre_vice_chair,https://www.europarl.europa.eu/committees/en/itre/home/members,2026-04-24
ITRE,vice_chair,Elena DONAZZAN,elena.donazzan@europarl.europa.eu,itre_vice_chair,https://www.europarl.europa.eu/committees/en/itre/home/members,2026-04-24
ITRE,vice_chair,Giorgio GORI,giorgio.gori@europarl.europa.eu,itre_vice_chair,https://www.europarl.europa.eu/committees/en/itre/home/members,2026-04-24
ITRE,vice_chair,Yvan VEROUGSTRAETE,yvan.verougstraete@europarl.europa.eu,itre_vice_chair,https://www.europarl.europa.eu/committees/en/itre/home/members,2026-04-24
JURI,chair,Ilhan KYUCHYUK,ilhan.kyuchyuk@europarl.europa.eu,juri_chair,https://www.europarl.europa.eu/committees/en/juri/home/members,2026-04-24
JURI,vice_chair,Marion WALSMANN,marion.walsmann@europarl.europa.eu,juri_vice_chair,https://www.europarl.europa.eu/committees/en/juri/home/members,2026-04-24
JURI,vice_chair,Mario MANTOVANI,mario.mantovani@europarl.europa.eu,juri_vice_chair,https://www.europarl.europa.eu/committees/en/juri/home/members,2026-04-24
JURI,vice_chair,Lara WOLTERS,lara.wolters@europarl.europa.eu,juri_vice_chair,https://www.europarl.europa.eu/committees/en/juri/home/members,2026-04-24
JURI,vice_chair,Emil RADEV,emil.radev@europarl.europa.eu,juri_vice_chair,https://www.europarl.europa.eu/committees/en/juri/home/members,2026-04-24
LIBE,chair,Javier ZARZALEJOS,javier.zarzalejos@europarl.europa.eu,libe_chair,https://www.europarl.europa.eu/committees/en/libe/home/members,2026-04-24
LIBE,vice_chair,Marina KALJURAND,marina.kaljurand@europarl.europa.eu,libe_vice_chair,https://www.europarl.europa.eu/committees/en/libe/home/members,2026-04-24
LIBE,vice_chair,Charlie WEIMERS,charlie.weimers@europarl.europa.eu,libe_vice_chair,https://www.europarl.europa.eu/committees/en/libe/home/members,2026-04-24
LIBE,vice_chair,Alessandro ZAN,alessandro.zan@europarl.europa.eu,libe_vice_chair,https://www.europarl.europa.eu/committees/en/libe/home/members,2026-04-24
LIBE,vice_chair,Estrella GALÁN,estrella.galan@europarl.europa.eu,libe_vice_chair,https://www.europarl.europa.eu/committees/en/libe/home/members,2026-04-24
PECH,chair,Carmen CRESPO DÍAZ,carmen.crespodiaz@europarl.europa.eu,pech_chair,https://www.europarl.europa.eu/committees/en/pech/home/members,2026-04-24
PECH,vice_chair,Paulo DO NASCIMENTO CABRAL,paulo.donascimentocabral@europarl.europa.eu,pech_vice_chair,https://www.europarl.europa.eu/committees/en/pech/home/members,2026-04-24
PECH,vice_chair,Giuseppe MILAZZO,giuseppe.milazzo@europarl.europa.eu,pech_vice_chair,https://www.europarl.europa.eu/committees/en/pech/home/members,2026-04-24
PECH,vice_chair,Stéphanie YON-COURTIN,stephanie.yon-courtin@europarl.europa.eu,pech_vice_chair,https://www.europarl.europa.eu/committees/en/pech/home/members,2026-04-24
PECH,vice_chair,Jessica POLFJÄRD,jessica.polfjard@europarl.europa.eu,pech_vice_chair,https://www.europarl.europa.eu/committees/en/pech/home/members,2026-04-24
PETI,chair,Bogdan RZOŃCA,bogdan.rzonca@europarl.europa.eu,peti_chair,https://www.europarl.europa.eu/committees/en/peti/home/members,2026-04-24
PETI,vice_chair,Dolors MONTSERRAT,dolors.montserrat@europarl.europa.eu,peti_vice_chair,https://www.europarl.europa.eu/committees/en/peti/home/members,2026-04-24
PETI,vice_chair,Fredis BELERIS,fredis.beleris@europarl.europa.eu,peti_vice_chair,https://www.europarl.europa.eu/committees/en/peti/home/members,2026-04-24
PETI,vice_chair,Nils UŠAKOVS,nils.usakovs@europarl.europa.eu,peti_vice_chair,https://www.europarl.europa.eu/committees/en/peti/home/members,2026-04-24
PETI,vice_chair,Cristina GUARDA,cristina.guarda@europarl.europa.eu,peti_vice_chair,https://www.europarl.europa.eu/committees/en/peti/home/members,2026-04-24
REGI,chair,Dragoş BENEA,dragos.benea@europarl.europa.eu,regi_chair,https://www.europarl.europa.eu/committees/en/regi/home/members,2026-04-24
REGI,vice_chair,Gabriella GERZSENYI,gabriella.gerzsenyi@europarl.europa.eu,regi_vice_chair,https://www.europarl.europa.eu/committees/en/regi/home/members,2026-04-24
REGI,vice_chair,Nora MEBAREK,nora.mebarek@europarl.europa.eu,regi_vice_chair,https://www.europarl.europa.eu/committees/en/regi/home/members,2026-04-24
REGI,vice_chair,Francesco VENTOLA,francesco.ventola@europarl.europa.eu,regi_vice_chair,https://www.europarl.europa.eu/committees/en/regi/home/members,2026-04-24
REGI,vice_chair,Ľubica KARVAŠOVÁ,lubica.karvasova@europarl.europa.eu,regi_vice_chair,https://www.europarl.europa.eu/committees/en/regi/home/members,2026-04-24
SANT,chair,Adam JARUBAS,adam.jarubas@europarl.europa.eu,sant_chair,https://www.europarl.europa.eu/committees/en/sant/home/members,2026-04-24
SANT,vice_chair,Tilly METZ,tilly.metz@europarl.europa.eu,sant_vice_chair,https://www.europarl.europa.eu/committees/en/sant/home/members,2026-04-24
SANT,vice_chair,Stine BOSSE,stine.bosse@europarl.europa.eu,sant_vice_chair,https://www.europarl.europa.eu/committees/en/sant/home/members,2026-04-24
SANT,vice_chair,Romana JERKOVIĆ,romana.jerkovic@europarl.europa.eu,sant_vice_chair,https://www.europarl.europa.eu/committees/en/sant/home/members,2026-04-24
SANT,vice_chair,Emmanouil FRAGKOS,emmanouil.fragkos@europarl.europa.eu,sant_vice_chair,https://www.europarl.europa.eu/committees/en/sant/home/members,2026-04-24
SEDE,chair,Marie-Agnes STRACK-ZIMMERMANN,marie-agnes.strack-zimmermann@europarl.europa.eu,sede_chair,https://www.europarl.europa.eu/committees/en/sede/home/members,2026-04-24
SEDE,vice_chair,Christophe GOMART,christophe.gomart@europarl.europa.eu,sede_vice_chair,https://www.europarl.europa.eu/committees/en/sede/home/members,2026-04-24
SEDE,vice_chair,Mihai TUDOSE,mihai.tudose@europarl.europa.eu,sede_vice_chair,https://www.europarl.europa.eu/committees/en/sede/home/members,2026-04-24
SEDE,vice_chair,Michał DWORCZYK,michal.dworczyk@europarl.europa.eu,sede_vice_chair,https://www.europarl.europa.eu/committees/en/sede/home/members,2026-04-24
SEDE,vice_chair,Riho TERRAS,riho.terras@europarl.europa.eu,sede_vice_chair,https://www.europarl.europa.eu/committees/en/sede/home/members,2026-04-24
TRAN,chair,Elissavet VOZEMBERG-VRIONIDI,elissavet.vozemberg@europarl.europa.eu,tran_chair,https://www.europarl.europa.eu/committees/en/tran/home/members,2026-04-24
TRAN,vice_chair,Virginijus SINKEVIČIUS,virginijus.sinkevicius@europarl.europa.eu,tran_vice_chair,https://www.europarl.europa.eu/committees/en/tran/home/members,2026-04-24
TRAN,vice_chair,Sophia KIRCHER,sophia.kircher@europarl.europa.eu,tran_vice_chair,https://www.europarl.europa.eu/committees/en/tran/home/members,2026-04-24
TRAN,vice_chair,Elena KOUNTOURA,elena.kountoura@europarl.europa.eu,tran_vice_chair,https://www.europarl.europa.eu/committees/en/tran/home/members,2026-04-24
TRAN,vice_chair,Matteo RICCI,matteo.ricci@europarl.europa.eu,tran_vice_chair,https://www.europarl.europa.eu/committees/en/tran/home/members,2026-04-24
