mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags,topic_tags
Mieke ANDRIESE,Netherlands,PfE,mieke.andriese@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Vytenis Povilas ANDRIUKAITIS,Lithuania,S&D,vytenis.andriukaitis@europarl.europa.eu,N/A,N/A,N/A,Health; Food safety,ENVI,2024-12-15,,
Mathilde ANDROUËT,France,PfE,mathilde.androuet@europarl.europa.eu,N/A,N/A,N/A,Culture; Education,CULT,2024-12-15,,
Marc ANGEL,Luxembourg,S&D,marc.angel@europarl.europa.eu,N/A,N/A,N/A,Employment; Social rights,EMPL,2024-12-15,,
Gerolf ANNEMANS,Belgium,PfE,gerolf.annemans@europarl.europa.eu,N/A,N/A,N/A,Constitutional affairs,AFCO,2024-12-15,,
Lucia ANNUNZIATA,Italy,S&D,lucia.annunziata@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,,
Giuseppe ANTOCI,Italy,The Left,giuseppe.antoci@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Organized crime,LIBE,2024-12-15,,
Pablo ARIAS ECHEVERRÍA,Spain,EPP,pablo.ariasecheverria@europarl.europa.eu,N/A,N/A,N/A,Internal market; Digital single market,IMCO,2024-12-15,,
Pascal ARIMONT,Belgium,EPP,pascal.arimont@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,,
Bartosz ARŁUKOWICZ,Poland,EPP,bartosz.arlukowicz@europarl.europa.eu,N/A,N/A,N/A,Health policy,ENVI,2024-12-15,,
Sakis ARNAOUTOGLOU,Greece,S&D,sakis.arnaoutoglou@europarl.europa.eu,N/A,N/A,N/A,Transport,TRAN,2024-12-15,,
Anja ARNDT,Germany,ESN,anja.arndt@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Konstantinos ARVANITIS,Greece,The Left,konstantinos.arvanitis@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Human rights,LIBE,2024-12-15,,
Francisco ASSIS,Portugal,S&D,francisco.assis@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,,
Daniel ATTARD,Malta,S&D,daniel.attard@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15,,
Manon AUBRY,France,The Left,manon.aubry@europarl.europa.eu,N/A,N/A,N/A,Economic justice; Taxation; Digital taxation,ECON,2024-12-15,,
René AUST,Germany,ESN,rene.aust@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Petras AUŠTREVIČIUS,Lithuania,Renew,petras.austreviscius@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; Eastern Partnership,AFET,2024-12-15,,
Adrian-George AXINIA,Romania,ECR,adriangeorge.axinia@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Malik AZMANI,Netherlands,Renew,malik.azmani@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Migration,LIBE,2024-12-15,,
Thomas BAJADA,Malta,S&D,thomas.bajada@europarl.europa.eu,N/A,N/A,N/A,Transport,TRAN,2024-12-15,,
Jeannette BALJEU,Netherlands,Renew,jeannette.baljeu@europarl.europa.eu,N/A,N/A,N/A,Internal market,IMCO,2024-12-15,,
Laura BALLARÍN CEREZA,Spain,S&D,laura.ballarincereza@europarl.europa.eu,N/A,N/A,N/A,Women's rights,FEMM,2024-12-15,,
Jordan BARDELLA,France,PfE,jordan.bardella@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Katarina BARLEY,Germany,S&D,katarina.barley@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Justice; Digital rights,LIBE; IMCO,2024-12-15,,
Dan BARNA,Romania,Renew,dan.barna@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,,
Pernando BARRENA ARZA,Spain,The Left,pernando.barrenaarza@europarl.europa.eu,N/A,N/A,N/A,Regional affairs,REGI,2024-12-15,,
Stephen Nikola BARTULICA,Croatia,ECR,stephennlikola.bartulica@europarl.europa.eu,N/A,N/A,N/A,Family policy,FEMM,2024-12-15,,
Nikola BARTŮŠEK,Czechia,PfE,nikola.bartusek@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Arno BAUSEMER,Germany,ESN,arno.bausemer@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Nicolas BAY,France,ECR,nicolas.bay@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Christophe BAY,France,PfE,christophe.bay@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Wouter BEKE,Belgium,EPP,wouter.beke@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy,ITRE,2024-12-15,,
Fredis BELERIS,Greece,EPP,fredis.beleris@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,,
François-Xavier BELLAMY,France,EPP,francoisxavier.bellamy@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Culture,LIBE; CULT,2024-12-15,,
Dragoş BENEA,Romania,S&D,dragos.benea@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,,
Brando BENIFEI,Italy,S&D,brando.benifei@europarl.europa.eu,N/A,N/A,N/A,AI Act Co-Rapporteur; Digital rights; Internal market; AI governance; Data protection,IMCO; LIBE,2024-12-15,ai_act_co_rapporteur; rapporteur,
Isabel BENJUMEA BENJUMEA,Spain,EPP,isabel.benjumeabenjumea@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15,,
Monika BEŇOVÁ,Slovakia,NI,monika.benova@europarl.europa.eu,N/A,N/A,N/A,Women's rights,FEMM,2024-12-15,,
Hildegard BENTELE,Germany,EPP,hildegard.bentele@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy; Digital innovation,ITRE,2024-12-15,,
Tom BERENDSEN,Netherlands,EPP,tom.berendsen@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy; Transport,ITRE; TRAN,2024-12-15,,
Stefan BERGER,Germany,EPP,stefan.berger@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; Crypto-assets regulation,ECON,2024-12-15,,
Sibylle BERG,Germany,NI,sibylle.berg@europarl.europa.eu,N/A,N/A,N/A,Culture,CULT,2024-12-15,,
Sergio BERLATO,Italy,ECR,sergio.berlato@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,,
Alexander BERNHUBER,Austria,EPP,alexander.bernhuber@europarl.europa.eu,N/A,N/A,N/A,Agriculture; Environment,AGRI; ENVI,2024-12-15,,
Robert BIEDROŃ,Poland,S&D,robert.biedron@europarl.europa.eu,N/A,N/A,N/A,Women's rights; LGBTQ+ rights,FEMM,2024-12-15,,
Adam BIELAN,Poland,ECR,adam.bielan@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,,
Gabriele BISCHOFF,Germany,S&D,gabriele.bischoff@europarl.europa.eu,N/A,N/A,N/A,Employment; Social affairs,EMPL,2024-12-15,,
Ľuboš BLAHA,Slovakia,NI,lubos.blaha@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Vilija BLINKEVIČIŪTĖ,Lithuania,S&D,vilija.blinkeviciute@europarl.europa.eu,N/A,N/A,N/A,Employment; Women's rights,EMPL; FEMM,2024-12-15,,
Rachel BLOM,Netherlands,PfE,rachel.blom@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Michael BLOSS,Germany,Greens/EFA,michael.bloss@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy; Climate,ITRE; ENVI,2024-12-15,,
Tobiasz BOCHEŃSKI,Poland,ECR,tobiasz.bochenski@europarl.europa.eu,N/A,N/A,N/A,Legal affairs,JURI,2024-12-15,,
Damian BOESELAGER,Germany,Greens/EFA,damian.boeselager@europarl.europa.eu,N/A,N/A,N/A,Constitutional affairs; Digital democracy,AFCO,2024-12-15,,
Ioan-Rareş BOGDAN,Romania,EPP,ioanrares.bogdan@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Foreign affairs,LIBE; AFET,2024-12-15,,
Stefano BONACCINI,Italy,S&D,stefano.bonaccini@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,,
Barbara BONTE,Belgium,PfE,barbara.bonte@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Paolo BORCHIA,Italy,PfE,paolo.borchia@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy,ITRE,2024-12-15,,
Jaume ASENS LLODRÀ,Spain,Greens/EFA,jaume.asensllodra@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Justice,LIBE,2024-12-15,,
Zsuzsanna BORVENDÉG,Hungary,ESN,zsuzsanna.borvendeg@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Biljana BORZAN,Croatia,S&D,biljana.borzan@europarl.europa.eu,N/A,N/A,N/A,Internal market; Consumer protection; Health,IMCO; ENVI,2024-12-15,,
Gordan BOSANAC,Croatia,Greens/EFA,gordan.bosanac@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Human rights,LIBE,2024-12-15,,
Irmhild BOẞDORF,Germany,ESN,irmhild.bossdorf@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Stine BOSSE,Denmark,Renew,stine.bosse@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15,,
Marc BOTENGA,Belgium,The Left,marc.botenga@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; Digital taxation,AFET; ECON,2024-12-15,,
Gilles BOYER,France,Renew,gilles.boyer@europarl.europa.eu,N/A,N/A,N/A,Budgets; Budget control,BUDG; CONT,2024-12-15,,
Lynn BOYLAN,Ireland,The Left,lynn.boylan@europarl.europa.eu,N/A,N/A,N/A,Environment; Climate,ENVI,2024-12-15,,
Helmut BRANDSTÄTTER,Austria,Renew,helmut.brandstaetter@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,,
Marie-Luce BRASIER-CLAIN,France,PfE,marieluce.brasierclain@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Grzegorz BRAUN,Poland,NI,grzegorz.braun@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Krzysztof BREJZA,Poland,EPP,krzysztof.brejza@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,,
Saskia BRICMONT,Belgium,Greens/EFA,saskia.bricmont@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Trade; Digital rights,LIBE; INTA,2024-12-15,,
Nikolina BRNJAC,Croatia,EPP,nikolina.brnjac@europarl.europa.eu,N/A,N/A,N/A,Tourism; Regional development,REGI; TRAN,2024-12-15,,
Joachim Stanisław BRUDZIŃSKI,Poland,ECR,joachimstanislaw.brudzinski@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,,
Anna BRYŁKA,Poland,PfE,anna.brylka@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Markus BUCHHEIT,Germany,ESN,markus.buchheit@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Tomasz BUCZEK,Poland,PfE,tomasz.buczek@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Daniel BUDA,Romania,EPP,daniel.buda@europarl.europa.eu,N/A,N/A,N/A,Legal affairs; Agriculture,JURI; AGRI,2024-12-15,,
Waldemar BUDA,Poland,ECR,waldemar.buda@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15,,
Borys BUDKA,Poland,EPP,borys.budka@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy - Committee Chair,ITRE,2024-12-15,itre_chair,
Sebastião BUGALHO,Portugal,EPP,sebastiao.bugalho@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Andrzej BUŁA,Poland,EPP,andrzej.bula@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,,
Udo BULLMANN,Germany,S&D,udo.bullmann@europarl.europa.eu,N/A,N/A,N/A,Development; Human rights,DEVE,2024-12-15,,
Delara BURKHARDT,Germany,S&D,delara.burkhardt@europarl.europa.eu,N/A,N/A,N/A,Environment; Climate,ENVI,2024-12-15,,
Jorge BUXADÉ VILLALBA,Spain,PfE,jorge.buxadevillalba@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,,
Petr BYSTRON,Germany,ESN,petr.bystron@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,,
Jaroslav BŽOCH,Czechia,PfE,jaroslav.bzoch@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Mélissa CAMARA,France,Greens/EFA,melissa.camara@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,,
Pascal CANFIN,France,Renew,pascal.canfin@europarl.europa.eu,N/A,N/A,N/A,Environment; Sustainable finance; Green deal,ENVI,2024-12-15,,
Nina CARBERRY,Ireland,EPP,nina.carberry@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,,
Gheorghe CÂRCIU,Romania,S&D,gheorghe.carciu@europarl.europa.eu,N/A,N/A,N/A,Transport,TRAN,2024-12-15,,
Damien CARÊME,France,The Left,damien.careme@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Migration,LIBE,2024-12-15,,
David CASA,Malta,EPP,david.casa@europarl.europa.eu,N/A,N/A,N/A,Employment; Social affairs,EMPL,2024-12-15,,
Daniel CASPARY,Germany,EPP,daniel.caspary@europarl.europa.eu,N/A,N/A,N/A,International trade; EPP Delegation Chair,INTA,2024-12-15,,
Benoit CASSART,Belgium,Renew,benoit.cassart@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,,
Laurent CASTILLO,France,EPP,laurent.castillo@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Pilar DEL CASTILLO VERA,Spain,EPP,pilar.delcastillovera@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy; Digital infrastructure; Data Act Rapporteur,ITRE,2024-12-15,rapporteur,
Anna CAVAZZINI,Germany,Greens/EFA,anna.cavazzini@europarl.europa.eu,N/A,N/A,N/A,Internal market; Consumer protection - IMCO Chair; Digital services; AI governance,IMCO,2024-12-15,imco_chair,
Stefano CAVEDAGNA,Italy,ECR,stefano.cavedagna@europarl.europa.eu,N/A,N/A,N/A,Internal market,IMCO,2024-12-15,,
Susanna CECCARDI,Italy,PfE,susanna.ceccardi@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,,
José CEPEDA,Spain,S&D,jose.cepeda@europarl.europa.eu,N/A,N/A,N/A,Legal affairs,JURI,2024-12-15,,
Estelle CEULEMANS,Belgium,S&D,estelle.ceulemans@europarl.europa.eu,N/A,N/A,N/A,Employment,EMPL,2024-12-15,,
Mohammed CHAHIM,Netherlands,S&D,mohammed.chahim@europarl.europa.eu,N/A,N/A,N/A,Environment; Climate,ENVI,2024-12-15,,
Leila CHAIBI,France,The Left,leila.chaibi@europarl.europa.eu,N/A,N/A,N/A,Internal market; Platform workers; Digital labor rights,IMCO; EMPL,2024-12-15,,
Olivier CHASTEL,Belgium,Renew,olivier.chastel@europarl.europa.eu,N/A,N/A,N/A,Budgets; Budget control,BUDG; CONT,2024-12-15,,
Caterina CHINNICI,Italy,EPP,caterina.chinnici@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Justice,LIBE,2024-12-15,,
Asger CHRISTENSEN,Denmark,Renew,asger.christensen@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,,
Carlo CICCIOLI,Italy,ECR,carlo.ciccioli@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,,
Veronika CIFROVÁ OSTRIHOŇOVÁ,Slovakia,Renew,veronika.cifrovaostrihonova@europarl.europa.eu,N/A,N/A,N/A,Culture; Media,CULT,2024-12-15,,
Alessandro CIRIANI,Italy,ECR,alessandro.ciriani@europarl.europa.eu,N/A,N/A,N/A,Constitutional affairs,AFCO,2024-12-15,,
Anna Maria CISINT,Italy,PfE,annamaria.cisint@europarl.europa.eu,N/A,N/A,N/A,Industry; Research,ITRE,2024-12-15,,
Per CLAUSEN,Denmark,The Left,per.clausen@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,,
Christophe CLERGEAU,France,S&D,christophe.clergeau@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,,
David CORMAND,France,Greens/EFA,david.cormand@europarl.europa.eu,N/A,N/A,N/A,Internal market; Digital rights,IMCO; BUDG,2024-12-15,,
Annalisa CORRADO,Italy,S&D,annalisa.corrado@europarl.europa.eu,N/A,N/A,N/A,Environment; Climate,ENVI,2024-12-15,,
Vivien COSTANZO,Germany,S&D,vivien.costanzo@europarl.europa.eu,N/A,N/A,N/A,Employment,EMPL,2024-12-15,,
João COTRIM DE FIGUEIREDO,Portugal,Renew,joao.cotrimdefigueiredo@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy,ITRE,2024-12-15,,
Barry COWEN,Ireland,Renew,barry.cowen@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,,
Tobias CREMER,Germany,S&D,tobias.cremer@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15,,
Carmen CRESPO DÍAZ,Spain,EPP,carmen.crespodiaz@europarl.europa.eu,N/A,N/A,N/A,Fisheries,PECH,2024-12-15,,
Andi CRISTEA,Romania,S&D,andi.cristea@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,,
Giovanni CROSETTO,Italy,ECR,giovanni.crosetto@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,,
Paulo CUNHA,Portugal,EPP,paulo.cunha@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,,
Henrik DAHL,Denmark,EPP,henrik.dahl@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15,,
Johan DANIELSSON,Sweden,S&D,johan.danielsson@europarl.europa.eu,N/A,N/A,N/A,Employment; Transport,EMPL; TRAN,2024-12-15,,
Marie DAUCHY,France,PfE,marie.dauchy@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,,
Dóra DÁVID,Hungary,EPP,dora.david@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Ivan DAVID,Czechia,ESN,ivan.david@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,,
Antonio DECARO,Italy,S&D,antonio.decaro@europarl.europa.eu,N/A,N/A,N/A,Environment; Regional development,ENVI; REGI,2024-12-15,,
Jérémy DECERLE,France,Renew,jeremy.decerle@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,,
Raúl DE LA HOZ QUINTANO,Spain,EPP,raul.delahozquintano@europarl.europa.eu,N/A,N/A,N/A,Legal affairs,JURI,2024-12-15,,
Danilo DELLA VALLE,Italy,The Left,danilo.dellavalle@europarl.europa.eu,N/A,N/A,N/A,Transport,TRAN,2024-12-15,,
Valérie DELOGE,France,PfE,valerie.deloge@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Fabio DE MASI,Germany,NI,fabio.demasi@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; Financial crimes; Digital finance,ECON,2024-12-15,,
Salvatore DE MEO,Italy,EPP,salvatore.demeo@europarl.europa.eu,N/A,N/A,N/A,Constitutional affairs; Culture,AFCO; CULT,2024-12-15,,
Özlem DEMIREL,Germany,The Left,ozlem.demirel@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; Security,AFET,2024-12-15,,
Tamás DEUTSCH,Hungary,PfE,tamas.deutsch@europarl.europa.eu,N/A,N/A,N/A,Budgets; Budget control,BUDG; CONT,2024-12-15,,
Valérie DEVAUX,France,Renew,valerie.devaux@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,,
Adnan DIBRANI,Sweden,S&D,adnan.dibrani@europarl.europa.eu,N/A,N/A,N/A,Employment,EMPL,2024-12-15,,
Ton DIEPEVEEN,Netherlands,PfE,ton.diepeveen@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Elisabeth DIERINGER,Austria,PfE,elisabeth.dieringer@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Vasile DÎNCU,Romania,S&D,vasile.dincu@europarl.europa.eu,N/A,N/A,N/A,Security; Defense,SEDE,2024-12-15,,
Elio DI RUPO,Belgium,S&D,elio.dirupo@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15,,
Mélanie DISDIER,France,PfE,melanie.disdier@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Klára DOBREV,Hungary,S&D,klara.dobrev@europarl.europa.eu,N/A,N/A,N/A,Employment; Social affairs,EMPL,2024-12-15,,
Regina DOHERTY,Ireland,EPP,regina.doherty@europarl.europa.eu,N/A,N/A,N/A,Employment,EMPL,2024-12-15,,
Christian DOLESCHAL,Germany,EPP,christian.doleschal@europarl.europa.eu,N/A,N/A,N/A,Internal market - IMCO Vice-Chair; Youth affairs,IMCO,2024-12-15,,
Csaba DÖMÖTÖR,Hungary,PfE,csaba.domotor@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Paulo DO NASCIMENTO CABRAL,Portugal,EPP,paulo.donascimentocabral@europarl.europa.eu,N/A,N/A,N/A,Fisheries,PECH,2024-12-15,,
Elena DONAZZAN,Italy,ECR,elena.donazzan@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy - ITRE Vice-Chair,ITRE,2024-12-15,itre_vice_chair,
Herbert DORFMANN,Italy,EPP,herbert.dorfmann@europarl.europa.eu,N/A,N/A,N/A,Agriculture; Regional policy,AGRI; REGI,2024-12-15,,
Klara DOSTALOVA,Czechia,PfE,klara.dostalova@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,,
Ondřej DOSTÁL,Czechia,NI,ondrej.dostal@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Siegbert Frank DROESE,Germany,ESN,siegbertfrank.droese@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Lena DÜPONT,Germany,EPP,lena.dupont@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Migration,LIBE,2024-12-15,,
Michał DWORCZYK,Poland,ECR,michal.dworczyk@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,,
Matthias ECKE,Germany,S&D,matthias.ecke@europarl.europa.eu,N/A,N/A,N/A,Environment; Transport,ENVI; TRAN,2024-12-15,,
Christian EHLER,Germany,EPP,christian.ehler@europarl.europa.eu,N/A,N/A,N/A,Industry; Research; Energy; STOA Chair; Horizon Europe; Digital research; AI policy,ITRE,2024-12-15,,
Marieke EHLERS,Netherlands,PfE,marieke.ehlers@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Bas EICKHOUT,Netherlands,Greens/EFA,bas.eickhout@europarl.europa.eu,N/A,N/A,N/A,Environment; Climate; Green finance,ENVI; ECON,2024-12-15,,
Sofie ERIKSSON,Sweden,S&D,sofie.eriksson@europarl.europa.eu,N/A,N/A,N/A,Industry,ITRE,2024-12-15,,
Dick ERIXON,Sweden,ECR,dick.erixon@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,,
Engin EROGLU,Germany,Renew,engin.eroglu@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,,
Rosa ESTARÀS FERRAGUT,Spain,EPP,rosa.estarasferragut@europarl.europa.eu,N/A,N/A,N/A,Women's rights; Employment,FEMM; EMPL,2024-12-15,,
Sebastian EVERDING,Germany,The Left,sebastian.everding@europarl.europa.eu,N/A,N/A,N/A,Animal welfare; Environment,ENVI,2024-12-15,,
Alma EZCURRA ALMANSA,Spain,EPP,alma.ezcurraalmansa@europarl.europa.eu,N/A,N/A,N/A,Employment,EMPL,2024-12-15,,
Gheorghe FALCĂ,Romania,EPP,gheorghe.falca@europarl.europa.eu,N/A,N/A,N/A,Transport,TRAN,2024-12-15,,
Marco FALCONE,Italy,EPP,marco.falcone@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15,,
Nikolas FARANTOURIS,Greece,The Left,nikolas.farantouris@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15,,
Laurence FARRENG,France,Renew,laurence.farreng@europarl.europa.eu,N/A,N/A,N/A,Culture; Education; Media policy,CULT,2024-12-15,,
Jan FARSKÝ,Czechia,EPP,jan.farsky@europarl.europa.eu,N/A,N/A,N/A,Regional development,REGI,2024-12-15,,
Markus FERBER,Germany,EPP,markus.ferber@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; Financial services,ECON,2024-12-15,,
